T_ref [°C],WRF GPP,WRF RECO,WRF NEE,WRF GPP_REF,WRF RECO_REF,WRF NEE_REF
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.6139630920238155,0.18758523465880853,-0.4263778748171561,0.06471129104493237,0.038344655999936375,-0.026366628450484587
8,0.975350443192663,0.27253920603019166,-0.7028112417942035,0.5815611741227672,0.1560432367588188,-0.42551793855023207
9,1.255612022656877,0.302984566673865,-0.9526905728015613,0.7050972982514494,0.17711976464139365,-0.5279051566613335
10,1.277913692630679,0.3408213508184211,-0.9370422894816854,0.5977438925916484,0.1751912022751721,-0.4225221792777922
11,1.505968482119248,0.3322814674227111,-1.17343740935377,0.8459432490421025,0.19243313533416553,-0.6535162035138339
12,1.5714806935796692,0.3352617421374763,-1.2369994819884333,0.8727318352967793,0.19522320556549783,-0.6778842165029156
13,1.7813152196722137,0.35094950131341807,-1.4305797742965063,1.0173266886284884,0.2062535222419971,-0.8112889723443107
14,2.0416915470276575,0.3895208847860957,-1.6525168895838476,1.1795901613072484,0.23021212388281295,-0.9495105420123938
15,2.6008259320032483,0.5006515773034513,-2.100126821188124,1.5148513575615394,0.29315370039330974,-1.22171398558483
16,2.774559938939252,0.5324240532732929,-2.2419949718634276,1.6922425169902844,0.3237174523555664,-1.3683707525456181
17,2.626475034336019,0.5240967950935296,-2.1021085373858517,1.738841642811363,0.34275566498103643,-1.3958439618009555
18,2.445014972431781,0.5062852825020931,-1.9379870810564712,1.7863398741159584,0.3575485031394588,-1.4281246512856949
19,2.054847896282872,0.4521828790036499,-1.601761728230874,1.6994389913732029,0.3480006010511668,-1.3502584234567145
20,1.5720253083108455,0.4115997560793912,-1.159030112961858,1.4306194545784334,0.32235247218753194,-1.1071579210032287
21,1.0353865958520359,0.36435512686640387,-0.6711314305626014,1.0690643025585351,0.28475858557867473,-0.7844625091036866
22,0.4951829696120412,0.31580356272655274,-0.1793870213479935,0.7137015819006748,0.24299874972682958,-0.47070561108841474
23,0.052943884631621065,0.28364706107247806,0.23068613164139287,0.29122072353202194,0.193559856967893,-0.09767585605341847
24,-0.47534290963719183,0.2061955429107948,0.6815466727540443,-0.1013051158254858,0.13286462708726626,0.23415395677804327
25,-0.9537035698473157,0.13928858767944494,1.09296956126305,-0.5256793575533166,0.07117517124523987,0.596821326805972
26,-1.459433256362211,0.035656510964452034,1.4950460861904642,-0.7669897988307668,0.030049248084950256,0.7969814411290939
27,-1.977861600798175,-0.058469392471788714,1.9193011639322939,-1.1589704767384108,-0.028926122193657856,1.1299319712985272
28,-2.1163341691557025,-0.11081723523418636,2.005516933654647,-1.3423582608388642,-0.07373987355101179,1.2686183794030192
29,-2.5085809118563747,-0.25475134395947924,2.2538295610773535,-1.7035624768220445,-0.168757800279974,1.5348046626785512
30,-3.3403471363546537,-0.4188475106096751,2.9214996227766785,-2.443116966012362,-0.35981503289359734,2.0833019274433338
