,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,1997,1998,1999,2000,2001
CRO_CH-Oe2,,,,,,,,,,,,,,,,,,
CRO_DE-Kli,,,,,,,,,,,,,,,,,,
CRO_FR-Gri,,,,,,,,,,,,,,,,,,
DBF_DE-Hai,21.48119160325963,19.986194321991945,19.42703414408023,19.776676881272554,20.85392263886505,21.83783028263085,18.697628277402966,20.681309572703643,21.472595762706632,18.055025708270133,22.450050479354996,,,,,,27.0,22.151651471488176
DBF_FR-Fon,,,,22.750059715178857,20.617470382131938,19.537736020801383,19.95556254136684,20.402483453839146,22.720829900699695,20.92257769802154,21.285476167442834,22.791103649667313,22.568750440177485,,,,,
DBF_IT-Isp,,,,,,,,,,,,26.58354714287242,24.30634524281511,,,,,
DBF_IT-PT1,,27.318598299487693,,,,,,,,,,,,,,,,
ENF_CH-Dav,15.592001871863255,15.171182489812695,15.0,17.66056431202219,24.000663143488254,23.748118740191874,16.41314359667449,,22.10446344434394,,16.21332927904232,9.48525694863933,17.925147445971092,15.0,20.186180893129514,17.0,16.020171062863525,17.678348548408472
ENF_DE-Lkb,,,,,,,,19.679257705556466,21.24972371681428,22.692122854302582,,21.132764954475565,,,,,,
ENF_IT-La2,7.990321706113281,,,,,,,,,,,,,,,,17.66308255334568,14.49363629885146
ENF_IT-Lav,,13.013708887879227,14.71708933403216,16.021981490907216,13.85183368440729,13.921910507354736,15.207608097662753,15.031100967857103,15.493696468600161,15.887337395362149,16.170960806442604,15.40116027109105,13.394278597372516,,,,,
ENF_IT-Ren,12.94331188602553,15.690644786509747,10.712574144235003,15.667341848578172,15.10900344552893,11.929535129392068,15.238913983558032,14.016271697315764,14.418701133325133,11.989482565341127,14.340781581561181,12.760542533508385,,,,18.72622036134496,,
GRA_AT-Neu,17.993498698267935,19.642260606668266,20.74122294690671,19.966085221995808,17.648888439191158,12.626918852953413,22.0,21.0,20.05551771110193,21.0,27.29436440863899,,,,,,,
GRA_CH-Cha,,,,18.264642619200217,19.592607960781013,,15.74635330905354,,20.857598671535587,24.0,25.0,18.733036616523368,26.84136461202842,,,,,
GRA_CH-Fru,,,,24.0,16.689841983246602,17.85499277151342,20.661913388900917,21.61759745036754,22.50814478104836,23.647328222328188,24.731234288995086,19.871263972861193,,,,,,
GRA_CH-Oe1,,14.393274395415146,23.0,21.98113169240321,17.77634301060795,16.793351388440154,22.643373034036514,,,,,,,,,,,
GRA_IT-MBo,,15.401661846666983,16.83107954154379,15.856327641437316,15.023604891553214,14.333702810665427,20.764265000995383,15.205651080992872,15.909557130467174,16.50682478482463,16.2032681444312,16.220564052957542,,,,,,
GRA_IT-Tor,,,,,,,13.993370328753077,12.381992163121634,16.359579392927497,15.190035842772607,15.89048519555131,15.593792771280826,11.88985608917574,,,,,
MF_CH-Lae,,,16.353758628604375,22.570363456567968,20.89510504327015,,18.501762868366725,22.861138837337467,19.98566886969888,16.50555720823733,21.90003570698641,18.71077820321444,17.697500818619353,,,,,
