config,res,time,Y_Wscale,Y_Pscale,Y_EVI
DEFAULT,_54km,2012-02-19 08:00:00,0.00024514763986522925,-0.00027736617196199713,1.9563929331692105e-05
ALPS,_54km,2012-02-19 09:00:00,0.0005198961457900528,-0.0005083973558703416,2.9013893123974796e-05
DEFAULT,_54km,2012-02-19 09:00:00,0.00029418133802641417,-0.00032431071658862396,2.5050674261153108e-05
ALPS,_54km,2012-02-19 10:00:00,0.0005665366548931549,-0.0005816514728345494,2.9831255404345415e-05
DEFAULT,_54km,2012-02-19 10:00:00,0.0003059121760073567,-0.0003480616940882799,2.5914605959003894e-05
ALPS,_54km,2012-02-19 11:00:00,0.0005262598849736949,-0.0005265578396548401,3.0482358100153494e-05
DEFAULT,_54km,2012-02-19 11:00:00,0.0002935222592990528,-0.0003045379625533957,2.6481144935526643e-05
ALPS,_54km,2012-02-19 12:00:00,0.0004588659094902481,-0.0004859900586522739,3.362293822686794e-05
DEFAULT,_54km,2012-02-19 12:00:00,0.0002898113393553627,-0.000299720006896002,2.8241956284036993e-05
ALPS,_54km,2012-02-19 13:00:00,0.0003579100574926419,-0.0003914298717742627,2.7944405958218575e-05
DEFAULT,_54km,2012-02-19 13:00:00,0.00027512817863788034,-0.000262510492477382,2.2957177847506105e-05
ALPS,_54km,2012-02-19 14:00:00,0.0003326515545133206,-0.00030628937958460665,1.58208337786364e-05
DEFAULT,_54km,2012-02-19 14:00:00,0.0003155494367769846,-0.0002239121570793734,1.2336098355416309e-05
ALPS,_54km,2012-02-19 15:00:00,0.00017592231198393433,-0.00015717932282156177,9.330590698526043e-06
DEFAULT,_54km,2012-02-19 15:00:00,0.0001778861889208928,-0.00011730747808891391,7.79878249522926e-06
ALPS,_54km,2012-02-19 16:00:00,1.3085109319298242e-05,-1.545910241246057e-05,3.5352451297737843e-06
DEFAULT,_54km,2012-02-19 16:00:00,7.57147259044233e-07,5.754458767805288e-06,3.2242572566892842e-06
ALPS,_54km,2012-02-19 17:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-02-19 17:00:00,0.0,0.0,0.0
ALPS,_54km,2012-02-19 18:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-02-19 18:00:00,0.0,0.0,0.0
ALPS,_54km,2012-02-19 19:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-02-19 19:00:00,0.0,0.0,0.0
ALPS,_54km,2012-02-19 20:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-02-19 20:00:00,0.0,0.0,0.0
ALPS,_54km,2012-02-19 21:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-02-19 21:00:00,0.0,0.0,0.0
ALPS,_54km,2012-02-19 22:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-02-19 22:00:00,0.0,0.0,0.0
ALPS,_54km,2012-02-19 23:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-02-19 23:00:00,0.0,0.0,0.0
ALPS,_54km,2012-03-19 00:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-03-19 00:00:00,0.0,0.0,0.0
ALPS,_54km,2012-03-19 01:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-03-19 01:00:00,0.0,0.0,0.0
ALPS,_54km,2012-03-19 02:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-03-19 02:00:00,0.0,0.0,0.0
ALPS,_54km,2012-03-19 03:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-03-19 03:00:00,0.0,0.0,0.0
ALPS,_54km,2012-03-19 04:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-03-19 04:00:00,0.0,0.0,0.0
ALPS,_54km,2012-03-19 05:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-03-19 05:00:00,0.0,0.0,0.0
ALPS,_54km,2012-03-19 06:00:00,0.0006142623013152743,-0.0011668794270851997,0.0001612340258469945
DEFAULT,_54km,2012-03-19 06:00:00,0.0003817476871046374,-0.0006450250928212007,0.0001493561486366296
ALPS,_54km,2012-03-19 07:00:00,0.001581085902639327,-0.003131492495213907,0.0003976552931852558
DEFAULT,_54km,2012-03-19 07:00:00,0.001009326619341815,-0.0018136583055415399,0.00037101199004789363
