PFT,site,year,Topt,T_mean
GRA,GRA_IT-Tor,2008,13.993370328753077,8.375043095238096
GRA,GRA_IT-Tor,2009,12.381992163121634,8.961218577348069
GRA,GRA_IT-Tor,2010,16.359579392927497,8.550778521825398
GRA,GRA_IT-Tor,2011,15.190035842772607,8.645830151888342
GRA,GRA_IT-Tor,2012,15.89048519555131,9.132713459860385
GRA,GRA_IT-Tor,2013,15.593792771280826,8.235236441798941
GRA,GRA_IT-Tor,2014,11.88985608917574,7.499525177725118
DBF,DBF_IT-Isp,2013,26.58354714287242,13.713986842105264
DBF,DBF_IT-Isp,2014,24.30634524281511,14.076074847846444
MF,MF_CH-Lae,2004,16.353758628604375,11.429455148071625
MF,MF_CH-Lae,2005,22.570363456567968,12.379062838753388
MF,MF_CH-Lae,2006,20.89510504327015,12.489439878608923
MF,MF_CH-Lae,2008,18.501762868366725,11.308385292164676
MF,MF_CH-Lae,2009,22.861138837337467,12.494019993279569
MF,MF_CH-Lae,2010,19.98566886969888,11.59750367144809
MF,MF_CH-Lae,2011,16.50555720823733,12.030934589460784
MF,MF_CH-Lae,2012,21.90003570698641,11.949929443359373
MF,MF_CH-Lae,2013,18.71077820321444,12.349477339181288
MF,MF_CH-Lae,2014,17.697500818619353,11.33807606414868
ENF,ENF_IT-La2,2000,17.66308255334568,10.63830309139785
ENF,ENF_IT-La2,2001,14.49363629885146,10.569111479591838
ENF,ENF_IT-La2,2002,7.990321706113281,9.667399203431373
ENF,ENF_CH-Dav,1997,15.0,8.110325378787879
ENF,ENF_CH-Dav,1998,20.186180893129514,8.56173602320675
ENF,ENF_CH-Dav,1999,17.0,7.792527817234849
ENF,ENF_CH-Dav,2000,16.020171062863525,8.00977655945419
ENF,ENF_CH-Dav,2001,17.678348548408472,8.003005015432098
ENF,ENF_CH-Dav,2002,15.592001871863255,7.740814349112426
ENF,ENF_CH-Dav,2003,15.171182489812695,9.303672294061304
ENF,ENF_CH-Dav,2004,15.0,7.775681599229287
ENF,ENF_CH-Dav,2005,17.66056431202219,8.803705845771145
ENF,ENF_CH-Dav,2006,24.000663143488254,9.622124426605502
ENF,ENF_CH-Dav,2007,23.748118740191874,9.206130439244664
ENF,ENF_CH-Dav,2008,16.41314359667449,9.18720029610829
ENF,ENF_CH-Dav,2010,22.10446344434394,9.295724041889484
ENF,ENF_CH-Dav,2012,16.21332927904232,9.531633859034267
ENF,ENF_CH-Dav,2013,9.48525694863933,9.633592990451389
ENF,ENF_CH-Dav,2014,17.925147445971092,8.442686598124098
ENF,ENF_IT-Ren,1999,18.72622036134496,9.446381578947369
ENF,ENF_IT-Ren,2002,12.94331188602553,9.040516447368422
ENF,ENF_IT-Ren,2003,15.690644786509747,11.26683981918239
ENF,ENF_IT-Ren,2004,10.712574144235003,9.452113970588238
ENF,ENF_IT-Ren,2005,15.667341848578172,9.40018113425926
ENF,ENF_IT-Ren,2006,15.10900344552893,9.627688858695654
ENF,ENF_IT-Ren,2007,11.929535129392068,9.747936602870812
ENF,ENF_IT-Ren,2008,15.238913983558032,9.313775353773584
ENF,ENF_IT-Ren,2009,14.016271697315764,10.229166666666668
ENF,ENF_IT-Ren,2010,14.418701133325133,9.196857078853046
ENF,ENF_IT-Ren,2011,11.989482565341127,9.644835888364778
ENF,ENF_IT-Ren,2012,14.340781581561181,10.313217374213837
ENF,ENF_IT-Ren,2013,12.760542533508385,9.609060406698566
DBF,DBF_IT-PT1,2003,27.318598299487693,16.038483709761163
GRA,GRA_CH-Cha,2005,18.264642619200217,13.300707126769627
GRA,GRA_CH-Cha,2006,19.592607960781013,13.364053604868914
GRA,GRA_CH-Cha,2008,15.74635330905354,12.76195154151404
GRA,GRA_CH-Cha,2010,20.857598671535587,12.4729356918239
GRA,GRA_CH-Cha,2011,24.0,12.5745942251462
GRA,GRA_CH-Cha,2012,25.0,12.306538456050228
GRA,GRA_CH-Cha,2013,18.733036616523368,12.985124432555123
GRA,GRA_CH-Cha,2014,26.84136461202842,11.637507665094338
ENF,ENF_DE-Lkb,2009,19.679257705556466,10.038275968992247
ENF,ENF_DE-Lkb,2010,21.24972371681428,10.043976696735394
ENF,ENF_DE-Lkb,2011,22.692122854302582,9.813152599715101
ENF,ENF_DE-Lkb,2013,21.132764954475565,9.99220933014354
DBF,DBF_FR-Fon,2005,22.750059715178857,13.299676538671024
DBF,DBF_FR-Fon,2006,20.617470382131938,13.639298930921052
DBF,DBF_FR-Fon,2007,19.537736020801383,12.367330915178574
DBF,DBF_FR-Fon,2008,19.95556254136684,12.187474729938273
DBF,DBF_FR-Fon,2009,20.402483453839146,12.804216575804777
DBF,DBF_FR-Fon,2010,22.720829900699695,13.1074981126597
DBF,DBF_FR-Fon,2011,20.92257769802154,12.917257781862746
DBF,DBF_FR-Fon,2012,21.285476167442834,12.824792673716011
DBF,DBF_FR-Fon,2013,22.791103649667313,12.926925992063493
DBF,DBF_FR-Fon,2014,22.568750440177485,12.990822043761638
DBF,DBF_DE-Hai,2000,27.0,11.265056805074972
DBF,DBF_DE-Hai,2001,22.151651471488176,11.828422140522878
DBF,DBF_DE-Hai,2002,21.48119160325963,11.268825520833333
DBF,DBF_DE-Hai,2003,19.986194321991945,13.068448822463768
DBF,DBF_DE-Hai,2004,19.42703414408023,11.366601130229421
DBF,DBF_DE-Hai,2005,19.776676881272554,12.269297385620915
DBF,DBF_DE-Hai,2006,20.85392263886505,12.917776041666666
DBF,DBF_DE-Hai,2007,21.83783028263085,11.217063148788927
DBF,DBF_DE-Hai,2008,18.697628277402966,11.496492930204573
DBF,DBF_DE-Hai,2009,20.681309572703643,11.988130407124684
DBF,DBF_DE-Hai,2010,21.472595762706632,11.747154689608635
DBF,DBF_DE-Hai,2011,18.055025708270133,11.932448027876632
DBF,DBF_DE-Hai,2012,22.450050479354996,11.565292041366906
ENF,ENF_IT-Lav,2003,13.013708887879227,11.99890158647141
ENF,ENF_IT-Lav,2004,14.71708933403216,10.896989406779662
ENF,ENF_IT-Lav,2005,16.021981490907216,10.57814937759336
ENF,ENF_IT-Lav,2006,13.85183368440729,10.899072875816993
ENF,ENF_IT-Lav,2007,13.921910507354736,10.622535019455253
ENF,ENF_IT-Lav,2008,15.207608097662753,10.445953965053763
ENF,ENF_IT-Lav,2009,15.031100967857103,11.621950271739129
ENF,ENF_IT-Lav,2010,15.493696468600161,10.576417326546004
ENF,ENF_IT-Lav,2011,15.887337395362149,10.669328918835193
ENF,ENF_IT-Lav,2012,16.170960806442604,11.043574679487179
ENF,ENF_IT-Lav,2013,15.40116027109105,11.05927718495935
ENF,ENF_IT-Lav,2014,13.394278597372516,10.070038648409893
GRA,GRA_AT-Neu,2002,17.993498698267935,11.643792654808957
GRA,GRA_AT-Neu,2003,19.642260606668266,12.455629343971632
GRA,GRA_AT-Neu,2004,20.74122294690671,11.680760003671072
GRA,GRA_AT-Neu,2005,19.966085221995808,11.155387760416666
GRA,GRA_AT-Neu,2006,17.648888439191158,12.470573839662448
GRA,GRA_AT-Neu,2007,12.626918852953413,11.341635247289972
GRA,GRA_AT-Neu,2008,22.0,11.07116139558233
GRA,GRA_AT-Neu,2009,21.0,12.039939393939392
GRA,GRA_AT-Neu,2010,20.05551771110193,11.226584569209038
GRA,GRA_AT-Neu,2011,21.0,11.891786123032904
GRA,GRA_AT-Neu,2012,27.29436440863899,11.605641921768708
GRA,GRA_CH-Fru,2005,24.0,11.323351166666665
GRA,GRA_CH-Fru,2006,16.689841983246602,11.738930171277998
GRA,GRA_CH-Fru,2007,17.85499277151342,10.815122376543208
GRA,GRA_CH-Fru,2008,20.661913388900917,11.065188553826198
GRA,GRA_CH-Fru,2009,21.61759745036754,12.104632885126161
GRA,GRA_CH-Fru,2010,22.50814478104836,11.27727366255144
GRA,GRA_CH-Fru,2011,23.647328222328188,10.96390466101695
GRA,GRA_CH-Fru,2012,24.731234288995086,11.600474118589744
GRA,GRA_CH-Fru,2013,19.871263972861193,11.869906466113417
GRA,GRA_CH-Oe1,2003,14.393274395415146,13.882346766409267
GRA,GRA_CH-Oe1,2004,23.0,12.590987980769231
GRA,GRA_CH-Oe1,2005,21.98113169240321,13.101292317708333
GRA,GRA_CH-Oe1,2006,17.77634301060795,13.349161079182633
GRA,GRA_CH-Oe1,2007,16.793351388440154,11.815645066889633
GRA,GRA_CH-Oe1,2008,22.643373034036514,12.61685393432466
GRA,GRA_IT-MBo,2003,15.401661846666983,11.153713443396224
GRA,GRA_IT-MBo,2004,16.83107954154379,9.845006395348838
GRA,GRA_IT-MBo,2005,15.856327641437316,9.835349980529598
GRA,GRA_IT-MBo,2006,15.023604891553214,9.957214878318583
GRA,GRA_IT-MBo,2007,14.333702810665427,9.997161268939392
GRA,GRA_IT-MBo,2008,20.764265000995383,9.600705208333334
GRA,GRA_IT-MBo,2009,15.205651080992872,10.994712291666668
GRA,GRA_IT-MBo,2010,15.909557130467174,9.667223039215687
GRA,GRA_IT-MBo,2011,16.50682478482463,10.079524059734512
GRA,GRA_IT-MBo,2012,16.2032681444312,10.416399612831858
GRA,GRA_IT-MBo,2013,16.220564052957542,9.909744743883792
