T_ref [°C],WRF GPP,WRF RECO,WRF NEE,WRF GPP_REF,WRF RECO_REF,WRF NEE_REF
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,2.7651513732670567,0.6261746564132299,-2.134519251174638,1.1653865402485324,0.2627495147004257,-0.9012125671803297
11,3.0153286469401808,0.6013232446203096,-2.413428560927922,1.6172001943351895,0.3261915494581883,-1.290919498202401
12,2.4771729742723894,0.558543666114103,-1.9184420757794267,1.6120336239667883,0.36020536412373383,-1.251730355697595
13,2.643733725817741,0.5579231459912971,-2.0861413384788707,1.7011613287097862,0.3710253200233197,-1.3302020321675132
14,2.4397127627092576,0.5192054125752701,-1.9206371386112042,1.5900648995387452,0.33980218726091965,-1.250315758250595
15,2.2647538058340837,0.47351847176639406,-1.7912789637703803,1.6939435236176879,0.3373965136346913,-1.3565067966646913
16,2.1024411543674892,0.45641923667399253,-1.6461620179123777,1.4369506966190104,0.30025231808538166,-1.136726799520302
17,1.9804044567994494,0.44502599039076834,-1.5354923509816785,1.3805668929894683,0.29751635874451937,-1.083048892341171
18,1.8428077562180345,0.4376980228360591,-1.4052184902488947,1.3387296651255622,0.2962804059166591,-1.0424591068864146
19,1.7550090628908466,0.43455609593025396,-1.3206077113114814,1.356000433254332,0.30673195362166283,-1.0492770825573834
20,1.4289498561086897,0.40639054915791134,-1.0227688933386092,1.2439220605269465,0.30114223400656037,-0.9428182011284283
21,1.3088604998842561,0.392825124436531,-0.9163261133209505,1.1805613465443472,0.29064741629470386,-0.8899922666505274
22,0.6936138662823984,0.3374903604108049,-0.35617678899425775,0.8412952585324526,0.2570525593555485,-0.584254456031656
23,0.36028272199920175,0.3174793733074892,-0.042821704048442745,0.5538213390434898,0.22829729047503694,-0.32554164218054227
24,-0.4426090026269743,0.1991479466404037,0.6417389632612864,-0.05868421972613132,0.13136693456644938,0.1900108214052197
25,-1.0349723688948531,0.10144099127777507,1.1363958648013024,-0.6131266723109613,0.03469033197289239,0.6477697572412757
26,-1.6861017830130733,-0.015110309562454256,1.6709934311270809,-0.9177452131031353,-0.011122927436688005,0.9066251916932784
27,-1.9043195068381706,-0.05038332638013639,1.853936175536119,-0.8563280092944932,0.03033389649447423,0.886661905375943
28,-1.8252493775252372,-0.02533923625385233,1.7999101290745636,-0.8910647248426188,0.03831909282652669,0.9293838109677538
29,-1.8680957160047191,-0.012298678849188971,1.8557970192264088,-0.9846864444947023,0.037684388557685376,1.0223708102443947
30,-1.7830815542315677,-0.05784189689806431,1.7252396519891264,-1.005819756022392,0.02576750817432368,1.031587233825461
