site,pft,vprm_veg_id,t_opt,t_min,t_max,par0,lambda,alpha,beta
AT-Neu,GRA,7,19.27,2.0,40.0,228.6563494567474,0.4200369518321557,0.394337727763277,1.733947437430461
CH-Dav,ENF,1,16.21,0.0,40.0,316.7694540057515,0.2719517038010729,0.1337811371150313,1.307747455465594
IT-Lav,ENF,1,16.17,0.0,40.0,323.6694743904549,0.3116807642949427,0.1139981620022888,1.045546274071813
IT-MBo,GRA,7,16.2,2.0,40.0,242.8147492505176,0.4418902012064235,0.3586514156708283,2.434709374258894
IT-Ren,ENF,1,14.34,0.0,40.0,320.2939192304019,0.2891637651709886,0.3065870938880589,1.252928563054349
