PFT,site,year,Topt
GRA,GRA_CH-Oe1,2008,22.643373034036514
GRA,GRA_IT-MBo,2003,15.401661846666983
GRA,GRA_IT-MBo,2004,16.83107954154379
GRA,GRA_IT-MBo,2005,15.856327641437316
GRA,GRA_IT-MBo,2006,15.023604891553214
GRA,GRA_IT-MBo,2007,14.333702810665427
GRA,GRA_IT-MBo,2008,20.764265000995383
GRA,GRA_IT-MBo,2009,15.205651080992872
GRA,GRA_IT-MBo,2010,15.909557130467174
GRA,GRA_IT-MBo,2011,16.50682478482463
GRA,GRA_IT-MBo,2012,16.2032681444312
GRA,GRA_IT-MBo,2013,16.220564052957542
