datetime,dT_calc_mean_9km,dT_model_mean_9km,dGPP_calc_mean_9km,dGPP_model_mean_9km,dGPP_real_mean_9km,dRECO_calc_mean_9km,dRECO_model_mean_9km,dRECO_real_mean_9km,dT_calc_mean_54km,dT_model_mean_54km,dGPP_calc_mean_54km,dGPP_model_mean_54km,dGPP_real_mean_54km,dRECO_calc_mean_54km,dRECO_model_mean_54km,dRECO_real_mean_54km
2012-02-19 00:00:00,-2.110310367160373,-6.022657606336805,0.0,0.0,0.0,-0.2747633411723044,-0.8204050191149237,-0.9086389949799223,-4.055061598205566,-5.800039672851563,0.0,0.0,0.0,-0.5642983498510539,-0.912878834224826,-0.6162877195679605
2012-02-19 01:00:00,-4.675309082031251,-8.512786865234375,0.0,0.0,0.0,-1.1828628317985488,-2.1537526185399947,-2.4824611179038065,-3.4544457092285152,-7.143524169921875,0.0,0.0,0.0,-0.8683754077891831,-1.7128740526993895,-1.8059238230347554
2012-02-19 02:00:00,-0.9570892448425294,-3.9183425903320312,0.0,0.0,0.0,-0.09047337504662803,-0.6792258244060829,-0.4288177339154734,-1.8517801250881623,-4.681732177734375,0.0,0.0,0.0,-0.28298310675328253,-0.8265493817013722,-0.6640161505109078
2012-02-19 03:00:00,,,,,,,,,,,,,,,,
2012-02-19 04:00:00,-0.9304362594604492,-5.047482299804687,0.0,0.0,0.0,-0.2484945238689767,-1.2885949139275592,-1.4903463255217126,-3.252640823364258,-6.8387839577414775,0.0,0.0,0.0,-0.8262885825413607,-1.7674036966718794,-1.9988769574992689
2012-02-19 05:00:00,-0.17908789367675781,-2.901312255859375,0.0,0.0,0.0,-0.072906938557181,-0.76915137203283,-0.8580048815956903,-2.3714820343017577,-5.367999267578125,0.0,0.0,0.0,-0.6365751585854997,-1.3915788769543818,-1.3852887143532233
2012-02-19 06:00:00,-0.8548658447265625,-4.8359375,0.0,0.0,0.0,-0.22363846221447156,-1.1626702085506442,-1.7487679549259432,-2.7900749130249025,-6.9702911376953125,0.0,0.0,0.0,-0.7015840121918153,-1.6641733361202418,-2.1017379101435787
2012-02-19 07:00:00,,,,,,,,,,,,,,,,
2012-02-19 08:00:00,,,,,,,,,,,,,,,,
2012-02-19 09:00:00,-1.3456226139068603,-2.060481715846706,-0.24254107231509794,-0.37671714610039075,-0.06566048741068922,-0.279727525150768,-0.4354779308051525,-0.5790741814593448,-2.6992797998479894,-4.02134910789696,-0.49009437087356267,-0.7342342976435606,-0.03501111648865709,-0.5827881931450801,-0.8676958940837327,-0.8354600284598889
2012-02-19 10:00:00,-0.5585913454654171,-1.0722179936427696,-0.11403653892929219,-0.2046175744883809,-0.036520626049773665,-0.10698534352601125,-0.20663980903480758,-0.274433983724104,-2.446621003210544,-3.9693576812744142,-0.4201800753748026,-0.6963951023635657,-0.011752180038097287,-0.45791236905745925,-0.7460196179983706,-0.5547701365716448
2012-02-19 11:00:00,-0.3727547512720158,-0.8955527962028206,-0.08083330904030807,-0.19126303194234257,-0.0729465780873406,-0.07157179117518254,-0.17926082321129225,-0.18242184096615485,-2.620080992165165,-4.010173233695652,-0.4711078742442638,-0.7554166552451191,-0.05850891818021957,-0.46812488349173426,-0.7235335220687077,-0.47990907471997013
2012-02-19 12:00:00,-0.4552674414290212,-0.8495304634381537,-0.09719835316807493,-0.18317110315712282,-0.06516050952159352,-0.08828581388563318,-0.17045878469606013,-0.14623730024112822,-2.627242491371227,-3.896673670354879,-0.5111897284430525,-0.7887561712378172,-0.11989067030514529,-0.46822838424038166,-0.6985320925156288,-0.4390516402475414
2012-02-19 13:00:00,-0.5030538656516154,-0.691872634021812,-0.09373041813817212,-0.13422628267842976,-0.03796494871547132,-0.09640611165543345,-0.1341703805769783,-0.08829276605030889,-2.788144107371629,-3.9613267070115215,-0.5028098665046719,-0.7303295485317902,-0.12371651757495201,-0.4869576154578605,-0.6926844326668874,-0.41627813797580726
2012-02-19 14:00:00,-0.4928515839900675,-0.7647881490823338,-0.08104462893579485,-0.12973191313285884,-0.07115114550001488,-0.09187894945850932,-0.14540607332134825,-0.09007377421558835,-2.907946045658725,-3.971197385664568,-0.4655314239407943,-0.6406300555248778,-0.11318993419463046,-0.5147318156152904,-0.7050245276592905,-0.40536613892253526
