,CH-Cha_REF_GPP_WRF,CH-Cha_ALPS_GPP_WRF,CH-Fru_REF_GPP_WRF,CH-Fru_ALPS_GPP_WRF,CH-Oe1_REF_GPP_WRF,CH-Oe1_ALPS_GPP_WRF,DE-Lkb_REF_GPP_WRF,DE-Lkb_ALPS_GPP_WRF,IT-Isp_REF_GPP_WRF,IT-Isp_ALPS_GPP_WRF,IT-La2_REF_GPP_WRF,IT-La2_ALPS_GPP_WRF,IT-PT1_REF_GPP_WRF,IT-PT1_ALPS_GPP_WRF,CH-Oe2_REF_GPP_WRF,CH-Oe2_ALPS_GPP_WRF,CH-Oe2_SITE_GPP_WRF,IT-Tor_REF_GPP_WRF,IT-Tor_ALPS_GPP_WRF,IT-Tor_SITE_GPP_WRF,CH-Lae_REF_GPP_WRF,CH-Lae_ALPS_GPP_WRF,CH-Lae_SITE_GPP_WRF,CH-Dav_REF_GPP_WRF,IT-Lav_REF_GPP_WRF,IT-Ren_REF_GPP_WRF,AT-Neu_REF_GPP_WRF,IT-MBo_REF_GPP_WRF,CH-Dav_ALPS_GPP_WRF,IT-Lav_ALPS_GPP_WRF,IT-Ren_ALPS_GPP_WRF,AT-Neu_ALPS_GPP_WRF,IT-MBo_ALPS_GPP_WRF,CH-Dav_SITE_GPP_WRF,IT-Lav_SITE_GPP_WRF,IT-Ren_SITE_GPP_WRF,AT-Neu_SITE_GPP_WRF,IT-MBo_SITE_GPP_WRF,CH-Cha_REF_RECO_WRF,CH-Cha_ALPS_RECO_WRF,CH-Fru_REF_RECO_WRF,CH-Fru_ALPS_RECO_WRF,CH-Oe1_REF_RECO_WRF,CH-Oe1_ALPS_RECO_WRF,DE-Lkb_REF_RECO_WRF,DE-Lkb_ALPS_RECO_WRF,IT-Isp_REF_RECO_WRF,IT-Isp_ALPS_RECO_WRF,IT-La2_REF_RECO_WRF,IT-La2_ALPS_RECO_WRF,IT-PT1_REF_RECO_WRF,IT-PT1_ALPS_RECO_WRF,CH-Oe2_REF_RECO_WRF,CH-Oe2_ALPS_RECO_WRF,CH-Oe2_SITE_RECO_WRF,IT-Tor_REF_RECO_WRF,IT-Tor_ALPS_RECO_WRF,IT-Tor_SITE_RECO_WRF,CH-Lae_REF_RECO_WRF,CH-Lae_ALPS_RECO_WRF,CH-Lae_SITE_RECO_WRF,CH-Dav_REF_RECO_WRF,IT-Lav_REF_RECO_WRF,IT-Ren_REF_RECO_WRF,AT-Neu_REF_RECO_WRF,IT-MBo_REF_RECO_WRF,CH-Dav_ALPS_RECO_WRF,IT-Lav_ALPS_RECO_WRF,IT-Ren_ALPS_RECO_WRF,AT-Neu_ALPS_RECO_WRF,IT-MBo_ALPS_RECO_WRF,CH-Dav_SITE_RECO_WRF,IT-Lav_SITE_RECO_WRF,IT-Ren_SITE_RECO_WRF,AT-Neu_SITE_RECO_WRF,IT-MBo_SITE_RECO_WRF,CH-Cha_REF_T2_WRF,CH-Cha_ALPS_T2_WRF,CH-Fru_REF_T2_WRF,CH-Fru_ALPS_T2_WRF,CH-Oe1_REF_T2_WRF,CH-Oe1_ALPS_T2_WRF,DE-Lkb_REF_T2_WRF,DE-Lkb_ALPS_T2_WRF,IT-Isp_REF_T2_WRF,IT-Isp_ALPS_T2_WRF,IT-La2_REF_T2_WRF,IT-La2_ALPS_T2_WRF,IT-PT1_REF_T2_WRF,IT-PT1_ALPS_T2_WRF,CH-Oe2_REF_T2_WRF,CH-Oe2_ALPS_T2_WRF,CH-Oe2_SITE_T2_WRF,IT-Tor_REF_T2_WRF,IT-Tor_ALPS_T2_WRF,IT-Tor_SITE_T2_WRF,CH-Lae_REF_T2_WRF,CH-Lae_ALPS_T2_WRF,CH-Lae_SITE_T2_WRF,CH-Dav_REF_T2_WRF,IT-Lav_REF_T2_WRF,IT-Ren_REF_T2_WRF,AT-Neu_REF_T2_WRF,IT-MBo_REF_T2_WRF,CH-Dav_ALPS_T2_WRF,IT-Lav_ALPS_T2_WRF,IT-Ren_ALPS_T2_WRF,AT-Neu_ALPS_T2_WRF,IT-MBo_ALPS_T2_WRF,CH-Dav_SITE_T2_WRF,IT-Lav_SITE_T2_WRF,IT-Ren_SITE_T2_WRF,AT-Neu_SITE_T2_WRF,IT-MBo_SITE_T2_WRF,CH-Cha_ALPS_GPP_recalc,CH-Fru_ALPS_GPP_recalc,CH-Oe1_ALPS_GPP_recalc,DE-Lkb_ALPS_GPP_recalc,IT-Isp_ALPS_GPP_recalc,IT-La2_ALPS_GPP_recalc,IT-PT1_ALPS_GPP_recalc,CH-Oe2_ALPS_GPP_recalc,IT-Tor_ALPS_GPP_recalc,CH-Lae_ALPS_GPP_recalc,CH-Dav_ALPS_GPP_recalc,IT-Lav_ALPS_GPP_recalc,IT-Ren_ALPS_GPP_recalc,AT-Neu_ALPS_GPP_recalc,IT-MBo_ALPS_GPP_recalc,CH-Dav_SITE_GPP_recalc,IT-Lav_SITE_GPP_recalc,IT-Ren_SITE_GPP_recalc,AT-Neu_SITE_GPP_recalc,IT-MBo_SITE_GPP_recalc,CH-Cha_ALPS_RECO_recalc,CH-Fru_ALPS_RECO_recalc,CH-Oe1_ALPS_RECO_recalc,DE-Lkb_ALPS_RECO_recalc,IT-Isp_ALPS_RECO_recalc,IT-La2_ALPS_RECO_recalc,IT-PT1_ALPS_RECO_recalc,CH-Oe2_ALPS_RECO_recalc,IT-Tor_ALPS_RECO_recalc,CH-Lae_ALPS_RECO_recalc,CH-Dav_ALPS_RECO_recalc,IT-Lav_ALPS_RECO_recalc,IT-Ren_ALPS_RECO_recalc,AT-Neu_ALPS_RECO_recalc,IT-MBo_ALPS_RECO_recalc,CH-Dav_SITE_RECO_recalc,IT-Lav_SITE_RECO_recalc,IT-Ren_SITE_RECO_recalc,AT-Neu_SITE_RECO_recalc,IT-MBo_SITE_RECO_recalc,CH-Cha_ALPS_NEE_recalc,CH-Fru_ALPS_NEE_recalc,CH-Oe1_ALPS_NEE_recalc,DE-Lkb_ALPS_NEE_recalc,IT-Isp_ALPS_NEE_recalc,IT-La2_ALPS_NEE_recalc,IT-PT1_ALPS_NEE_recalc,CH-Oe2_ALPS_NEE_recalc,IT-Tor_ALPS_NEE_recalc,CH-Lae_ALPS_NEE_recalc,CH-Dav_ALPS_NEE_recalc,IT-Lav_ALPS_NEE_recalc,IT-Ren_ALPS_NEE_recalc,AT-Neu_ALPS_NEE_recalc,IT-MBo_ALPS_NEE_recalc,CH-Dav_SITE_NEE_recalc,IT-Lav_SITE_NEE_recalc,IT-Ren_SITE_NEE_recalc,AT-Neu_SITE_NEE_recalc,IT-MBo_SITE_NEE_recalc
2012-01-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07402693,0.78545856,1.059996,2.3745008,0.10285031,0.74759656,0.6707994,1.7514087,0.23979987,0.8394236,0.6476958,1.6240886,0.021676762,0.82268274,0.0,0.7155742,0.3767029,0.082973525,0.14734297,0.26514384,0.0635176,1.2826461,0.9816539,0.031153113,0.36229783,0.35862377,0.028096814,0.5450984,0.58294797,1.2648244,1.0756146,0.0,1.6231923,0.25946116,0.8618522,1.2486101,0.0,1.7832557,270.4576,270.4576,276.14005,276.14005,270.9718,270.9718,272.82333,272.82333,274.09613,274.09613,272.74213,272.74213,272.8479,272.8479,269.77603,269.77603,269.77603,270.25574,270.25574,270.25574,272.26517,272.26517,272.26517,269.1042,271.36258,270.7153,267.5132,272.7393,269.1042,271.36258,270.7153,267.5132,272.7393,269.1042,271.36258,270.7153,267.5132,272.7393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78695697,2.377159,0.7485854,1.7537026,0.8390152,1.6264818,0.82139,0.71435726,0.1515819,1.2821145,0.6109704,1.2678828,1.0787144,0.12363214,1.6250992,0.500493100793663,0.9408125815288622,0.545624713103674,0.12363213920203778,1.7846453421173796,0.78695697,2.377159,0.7485854,1.7537026,0.8390152,1.6264818,0.82139,0.71435726,0.1515819,1.2821145,0.6109704,1.2678828,1.0787144,0.12363214,1.6250992,0.500493100793663,0.9408125815288622,0.545624713103674,0.12363213920203778,1.7846453421173796
2012-01-12 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60660756,0.59079885,1.3748027,0.07197493,0.6841248,0.5622091,1.6334764,0.21517937,0.80937874,0.44947913,1.3669449,0.017970102,0.81758034,0.0,0.73598355,0.39739472,0.13696148,0.33673602,0.4026313,0.1453556,1.3718443,1.0686666,0.0008381977,0.23461093,0.18807188,0.48994243,0.42781672,0.5375765,1.1284242,0.8524963,1.1525979,1.4693987,0.19662455,0.661076,1.031355,1.0780296,1.6331167,269.46506,269.46506,272.52325,272.52325,270.73773,270.73773,272.20392,272.20392,273.81213,273.81213,271.4998,271.4998,272.8197,272.8197,269.87485,269.87485,269.87485,271.98077,271.98077,271.98077,272.84268,272.84268,272.84268,268.87894,270.53558,269.58212,273.02115,272.02213,268.87894,270.53558,269.58212,273.02115,272.02213,268.87894,270.53558,269.58212,273.02115,272.02213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60831183,1.3774874,0.68511367,1.6358865,0.80897033,1.3693382,0.8162875,0.73476654,0.33893982,1.3713126,0.58489966,1.1320251,0.8558478,1.1549114,1.4717261,0.47887264345114566,0.8349323714250352,0.21985147273200775,1.3112847664406464,1.6349677803837845,0.60831183,1.3774874,0.68511367,1.6358865,0.80897033,1.3693382,0.8162875,0.73476654,0.33893982,1.3713126,0.58489966,1.1320251,0.8558478,1.1549114,1.4717261,0.47887264345114566,0.8349323714250352,0.21985147273200775,1.3112847664406464,1.6349677803837845
2012-01-12 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18144242,0.964953,1.2205874,2.7166662,0.058988765,0.65742856,0.47422186,1.53792,0.18477023,0.77226985,0.6097995,1.5749263,0.15877503,1.0114061,0.0,1.0420153,0.7076626,0.06306447,0.07750079,0.21444279,0.14097483,1.3670696,1.0640087,0.023209885,0.11844928,0.21105126,0.49536997,0.51921153,0.57105964,1.0043353,0.8825582,1.1698874,1.5892465,0.24299647,0.47842196,1.060627,1.096691,1.7501166,271.45374,271.45374,277.37796,277.37796,270.63928,270.63928,271.70203,271.70203,273.46136,273.46136,272.5046,272.5046,273.89087,273.89087,271.35657,271.35657,271.35657,269.6196,269.6196,269.6196,272.81177,272.81177,272.81177,269.04517,269.78323,269.7348,273.08588,272.581,269.04517,269.78323,269.7348,273.08588,272.581,269.04517,269.78323,269.7348,273.08588,272.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96624476,2.7193246,0.65841746,1.5404241,0.77186143,1.5773195,1.0101132,1.0407983,0.08249022,1.3665378,0.6041392,1.0084301,0.8858758,1.1722009,1.5912461,0.4948280195715483,0.7386090820162141,0.26374470556566726,1.3287455646705637,1.7516080011509045,0.96624476,2.7193246,0.65841746,1.5404241,0.77186143,1.5773195,1.0101132,1.0407983,0.08249022,1.3665378,0.6041392,1.0084301,0.8858758,1.1722009,1.5912461,0.4948280195715483,0.7386090820162141,0.26374470556566726,1.3287455646705637,1.7516080011509045
2012-01-12 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044465546,0.73606056,1.1955075,2.663229,0.013017878,0.5629244,0.44910333,1.5106405,0.16984078,0.754051,0.7407299,1.7447805,0.28624156,1.1868708,0.0,1.0582392,0.72411114,0.12188236,0.2838376,0.3642304,0.08440524,1.3054123,1.0038623,0.045203704,0.07250853,0.15106964,0.3442294,0.5247413,0.6039773,0.9552596,0.8040894,0.688421,1.5964978,0.2885852,0.40618426,0.98422015,0.57702035,1.7571955,270.18347,270.18347,277.18463,277.18463,270.29077,270.29077,271.55875,271.55875,273.28915,273.28915,273.32523,273.32523,274.86057,274.86057,271.43512,271.43512,271.43512,271.49896,271.49896,271.49896,272.41257,272.41257,272.41257,269.2086,269.4857,269.33627,271.2834,272.6148,269.2086,269.4857,269.33627,271.2834,272.6148,269.2086,269.4857,269.33627,271.2834,272.6148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7376159,2.6658876,0.5639132,1.5131714,0.75364274,1.7471737,1.185578,1.0570223,0.2866098,1.3048806,0.6230538,0.9595497,0.8092237,0.69073457,1.5984776,0.5105139088913128,0.7005142427781494,0.1509011722776944,0.8425104931704066,1.758665138955195,0.7376159,2.6658876,0.5639132,1.5131714,0.75364274,1.7471737,1.185578,1.0570223,0.2866098,1.3048806,0.6230538,0.9595497,0.8092237,0.69073457,1.5984776,0.5105139088913128,0.7005142427781494,0.1509011722776944,0.8425104931704066,1.758665138955195
2012-01-12 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19472893,1.0044042,2.2560534,0.0,0.46492797,0.43925384,1.4999437,0.15151696,0.7316902,0.60249096,1.5654448,0.33460867,1.2534508,0.0,1.0721186,0.7381826,0.098608494,0.20219143,0.3049604,0.0,1.1967051,0.89781845,0.010896638,0.020607332,0.6060553,0.085260704,0.6172441,0.5526307,0.8998165,1.3993083,0.0,1.7177984,0.2174736,0.3245742,1.5637975,0.0,1.8756137,267.1793,267.1793,275.71152,275.71152,269.92938,269.92938,271.50256,271.50256,273.0778,273.0778,272.4588,272.4588,275.22852,275.22852,271.50232,271.50232,271.50232,270.7553,270.7553,270.7553,271.70874,271.70874,271.70874,268.95367,269.14954,272.35928,268.19495,273.18045,268.95367,269.14954,272.35928,268.19495,273.18045,268.95367,269.14954,272.35928,268.19495,273.18045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43602663,2.258712,0.4659168,1.5024852,0.7312819,1.5678382,1.2521579,1.0709016,0.20584099,1.1961733,0.59354985,0.9094118,1.4020425,0.14357121,1.7194644,0.48604626491596414,0.6625613396028172,1.018246830383154,0.1435712148590748,1.8767371888072837,0.43602663,2.258712,0.4659168,1.5024852,0.7312819,1.5678382,1.2521579,1.0709016,0.20584099,1.1961733,0.59354985,0.9094118,1.4020425,0.14357121,1.7194644,0.48604626491596414,0.6625613396028172,1.018246830383154,0.1435712148590748,1.8767371888072837
2012-01-12 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1216906,0.98453426,2.213717,0.0,0.441095,0.4431166,1.5041387,0.14583673,0.72475845,0.5428297,1.4880474,0.36921617,1.3010898,0.0,1.0765623,0.74268776,0.07856765,0.13188688,0.25392368,0.0,1.0986831,0.80219835,0.0,0.20837526,0.07146621,0.4445676,0.16107301,0.38311887,1.100398,0.6999511,1.0080535,1.119613,0.0,0.61982256,0.88281846,0.92201567,1.2916429,266.77396,266.77396,275.55835,275.55835,269.8415,269.8415,271.5246,271.5246,273.01227,273.01227,272.08487,272.08487,275.4918,275.4918,271.52383,271.52383,271.52383,270.11496,270.11496,270.11496,271.0741,271.0741,271.0741,268.11212,270.36566,268.80737,272.48,270.39102,268.11212,270.36566,268.80737,272.48,270.39102,268.11212,270.36566,268.80737,272.48,270.39102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40889964,2.2163758,0.44208387,1.5066761,0.72435015,1.4904406,1.299797,1.0753453,0.1362919,1.0981514,0.5065977,1.1041106,0.73963106,1.0103672,1.1228967,0.41572056939529634,0.8131772878478513,0.08742891509319739,1.1653088710078823,1.2945436816800742,0.40889964,2.2163758,0.44208387,1.5066761,0.72435015,1.4904406,1.299797,1.0753453,0.1362919,1.0981514,0.5065977,1.1041106,0.73963106,1.0103672,1.1228967,0.41572056939529634,0.8131772878478513,0.08742891509319739,1.1653088710078823,1.2945436816800742
2012-01-12 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0696421,0.62586737,1.4495218,0.0010058582,0.53823084,0.41930875,1.4782827,0.14110631,0.71898586,0.5702623,1.5236351,0.39355415,1.3345925,0.0,1.0702213,0.7362591,0.0,0.0,0.0,0.0,0.99679625,0.70280784,0.0,0.0,0.0,0.3120739,0.00033209848,0.4377603,0.81371486,0.45218462,0.585988,0.9088306,0.058385596,0.19783594,0.6415629,0.46645927,1.0858691,266.4851,266.4851,272.79358,272.79358,270.1997,270.1997,271.3888,271.3888,272.9577,272.9577,272.2568,272.2568,275.67694,275.67694,271.49313,271.49313,271.49313,264.25003,264.25003,264.25003,270.41443,270.41443,270.41443,268.3834,268.6275,267.549,270.8999,269.4081,268.3834,268.6275,267.549,270.8999,269.4081,268.3834,268.6275,267.549,270.8999,269.4081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38956845,1.4521952,0.5392197,1.4808456,0.7185775,1.5260284,1.3332996,1.0690044,0.021372309,0.9962646,0.5329259,0.8361161,0.5755318,0.5883015,0.9126905,0.4366893141757054,0.6081886081229617,0.07530579809722635,0.7390628785748665,1.0894026217517492,0.38956845,1.4521952,0.5392197,1.4808456,0.7185775,1.5260284,1.3332996,1.0690044,0.021372309,0.9962646,0.5329259,0.8361161,0.5755318,0.5883015,0.9126905,0.4366893141757054,0.6081886081229617,0.07530579809722635,0.7390628785748665,1.0894026217517492
2012-01-12 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4546854,0.51909804,1.2220325,0.027348543,0.5923845,0.46752357,1.5306455,0.14528644,0.72408694,0.4867814,1.4153366,0.4063911,1.3522632,0.0,1.0364623,0.7020327,0.0,0.0,0.0,0.0,0.9335176,0.64107966,0.0,0.0,0.6430439,0.32597145,0.08747995,0.43080786,0.7532485,1.4476967,0.6302594,1.0231091,0.048757084,0.10883169,1.6109145,0.5142436,1.1974322,268.62195,268.62195,271.97055,271.97055,270.3994,270.3994,271.66382,271.66382,273.00592,273.00592,271.73358,271.73358,275.7746,275.7746,271.32968,271.32968,271.32968,264.52643,264.52643,264.52643,270.00473,270.00473,270.00473,268.34888,268.2609,272.60504,271.06564,269.941,268.34888,268.2609,272.60504,271.06564,269.941,268.34888,268.2609,272.60504,271.06564,269.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53257644,1.2247407,0.5933734,1.5331566,0.72367865,1.4177299,1.3509704,1.0352453,0.023168672,0.9329859,0.529576,0.7860635,1.4503766,0.6325728,1.0266566,0.4340213368614245,0.5714250604338054,1.0888988799553028,0.7837727301480305,1.2006226040067296,0.53257644,1.2247407,0.5933734,1.5331566,0.72367865,1.4177299,1.3509704,1.0352453,0.023168672,0.9329859,0.529576,0.7860635,1.4503766,0.6325728,1.0266566,0.4340213368614245,0.5714250604338054,1.0888988799553028,0.7837727301480305,1.2006226040067296
2012-01-12 08:00:00,0.0,0.0,-0.13543652,-0.18673933,0.0,0.0,0.0,0.0,-0.02420662,-0.0271358,-0.40973973,-0.5395738,-0.00828548,-0.010851098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22201219,0.0,0.0,0.0,0.0,-0.28401572,0.0,0.0,0.0,0.0,-0.21338393,0.0,0.42428663,0.76211137,1.7398107,0.11530915,0.7732087,0.49277058,1.5580645,0.237141,0.8361789,0.8643713,1.9051787,0.44529092,1.4058111,0.0,1.0242281,0.6896292,0.10680898,0.23095924,0.32584402,0.0,0.9421999,0.6495491,0.078857765,0.55536664,0.59386516,0.44505632,0.78532135,0.65434647,1.4710686,1.3833607,1.0096105,1.9382012,0.3583431,1.1654358,1.5482693,0.9236962,2.0907793,268.45325,268.45325,273.8438,273.8438,271.06625,271.06625,271.80783,271.80783,274.06546,274.06546,274.10016,274.10016,276.07053,276.07053,271.27045,271.27045,271.27045,271.01733,271.01733,271.01733,270.06094,270.06094,270.06094,269.45865,272.61304,272.2783,272.48584,274.20822,269.45865,272.61304,272.2783,272.48584,274.20822,269.45865,272.61304,272.2783,272.48584,274.20822,0.0,0.27595133,0.0,0.0,0.024900876,0.7804331,0.009425259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40036723,0.0,0.0,0.0,0.0,0.4003672410768436,0.52128613,1.7424692,0.7741976,1.5605487,0.8357705,1.9075718,1.4045181,1.0230111,0.23429966,0.94166815,0.6601078,1.4733062,1.3861132,1.011924,1.9398671,0.542627466739671,1.1009085854037028,0.9949622731293997,1.1668812484062387,2.091843664632509,0.52128613,1.4665179,0.7741976,1.5605487,0.81086963,1.1271387,1.395093,1.0230111,0.23429966,0.94166815,0.6601078,1.4733062,1.3861132,1.011924,1.5394999,0.542627466739671,1.1009085854037028,0.9949622731293997,1.1668812484062387,1.6914764235556654
2012-01-12 09:00:00,0.0,0.0,-1.8090782,-2.4909103,0.0,0.0,0.0,0.0,-0.118499875,-0.12877236,-1.3680446,-1.7338266,-0.018829294,-0.024027262,0.0,0.0,0.0,-0.0010757933,-0.0012368652,-0.0011377777,0.0,0.0,0.0,0.0,-0.025256352,0.0,-0.10454935,0.0,0.0,-0.032366604,0.0,-0.13672924,0.0,0.0,-0.027355688,0.0,-0.11380449,0.0,0.20711078,1.0078455,1.4352746,3.1740901,0.3389805,1.2330189,0.49270636,1.5579946,0.40289137,1.0384473,1.0612099,2.1605349,0.5104905,1.4955616,0.0,1.1071321,0.7736807,0.17599352,0.47366285,0.5020317,0.0,1.1380503,0.8406008,0.43392557,0.6483648,0.6745205,0.5601595,0.55963135,1.1857674,1.5704131,1.4888752,1.3762779,1.6422497,1.0943261,1.3116673,1.6510108,1.3194586,1.8018605,271.69177,271.69177,279.03287,279.03287,272.76193,272.76193,271.80746,271.80746,275.9774,275.9774,275.33386,275.33386,276.56653,276.56653,271.67184,271.67184,271.67184,273.22794,273.22794,273.22794,271.32898,271.32898,271.32898,272.09692,273.21536,272.81418,273.85855,272.82816,272.09692,273.21536,272.81418,273.85855,272.82816,272.09692,273.21536,272.81418,273.85855,272.82816,0.0,3.1184773,0.0,0.0,0.11882217,2.3833256,0.02093625,0.0,0.0016934191,0.0,0.0,0.04688145,0.0,0.19873635,0.0,0.0,0.04079019588427865,0.0,0.19873634744549984,0.0,1.0090879,3.1767488,1.2340078,1.5604789,1.0380388,2.1629279,1.4942689,1.1059151,0.47448725,1.1375185,1.1887892,1.5722982,1.4915084,1.3785914,1.6441045,1.019184676447885,1.1780671632773159,1.1490228704828,1.5371802418904013,1.803192621256453,1.0090879,0.058271535,1.2340078,1.5604789,0.91921675,-0.22039774,1.4733326,1.1059151,0.47279385,1.1375185,1.1887892,1.5254167,1.4915084,1.179855,1.6441045,1.019184676447885,1.1372769673930372,1.1490228704828,1.3384438944449015,1.803192621256453
