datetime,dT_calc_mean_9km,dT_model_mean_9km,dGPP_calc_mean_9km,dGPP_model_mean_9km,dGPP_real_mean_9km,dRECO_calc_mean_9km,dRECO_model_mean_9km,dRECO_real_mean_9km,dT_calc_mean_54km,dT_model_mean_54km,dGPP_calc_mean_54km,dGPP_model_mean_54km,dGPP_real_mean_54km,dRECO_calc_mean_54km,dRECO_model_mean_54km,dRECO_real_mean_54km
2012-01-12 00:00:00,-0.9815776392263409,-6.083204154889282,0.0,0.0,0.0,-0.17468026907828194,-1.246391610171205,-1.3546443674869857,-1.4583733367881586,-5.420113844368326,0.0,0.0,0.0,-0.25005719163063267,-1.107471677851145,-1.2594460140954575
2012-01-12 01:00:00,-0.8957069539007197,-6.409922023715102,0.0,0.0,0.0,-0.17097034957049298,-1.3164933654378792,-1.4502410795636687,-1.5824297264983826,-6.074486787182434,0.0,0.0,0.0,-0.2968835480270502,-1.226644051139845,-1.3815622345163043
2012-01-12 02:00:00,-0.6863933232954745,-6.60142662035163,0.0,0.0,0.0,-0.11987025959597017,-1.3425198890919556,-1.4979040834900743,-1.2616182218113459,-5.920168490023227,0.0,0.0,0.0,-0.21858355086426093,-1.1908178534990883,-1.3704444140643326
2012-01-12 03:00:00,-0.6314551740813992,-6.711628965980367,0.0,0.0,0.0,-0.10864420806657894,-1.3828598908492398,-1.5489995846178264,-0.9738908320503055,-6.3527424413833256,0.0,0.0,0.0,-0.1675406509071407,-1.298070198273508,-1.4767781958781498
2012-01-12 04:00:00,-0.06871642128408771,-6.505748905547677,0.0,0.0,0.0,0.0270224240766195,-1.3609280513396307,-1.5317617002760076,-0.7835904844362442,-6.335052908283391,0.0,0.0,0.0,-0.0983777848534779,-1.3025307776871276,-1.494018005911074
2012-01-12 05:00:00,-0.5300991784244603,-6.801058554235911,0.0,0.0,0.0,-0.06523696610469484,-1.3476702243701368,-1.5184019335953183,-0.9205761317763218,-7.931226331134175,0.0,0.0,0.0,-0.13143173170602818,-1.551574413590926,-1.5964125137920528
2012-01-12 06:00:00,-0.39546436795321377,-6.688652838860358,0.0,0.0,0.0,-0.05299675638113606,-1.4006064484041512,-1.5009352661346222,-1.2513666224857032,-8.002956253161534,0.0,0.0,0.0,-0.18675914449876718,-1.6579607905650944,-1.6931334971924195
2012-01-12 07:00:00,-0.6142596086163387,-6.055593044958382,-0.0011734807196355963,-0.013554306340387179,-0.015098142451215013,-0.08831816718741291,-1.258632063621152,-1.2996555188140393,-0.9082911534485993,-7.136503431532118,-0.005265088951302686,-0.018265398405899896,-0.018513254690072173,-0.11994143853682868,-1.4831156803930043,-1.4685316211402173
2012-01-12 08:00:00,-0.44736264984203417,-2.7089344635251584,-0.06736020441953514,-0.398495382389441,-0.41516200225671046,-0.0791652489440448,-0.5948452631103524,-0.6212374674398561,-1.1877733749548594,-4.832013937143179,-0.1890302310187515,-0.7446174612340893,-0.6341180475454171,-0.2275147505771573,-1.0759493526980834,-0.982581868035841
2012-01-12 09:00:00,-0.5944533648336321,-0.9621099153361713,-0.1287508514450374,-0.210819079825142,-0.2091769389709846,-0.10716274707484867,-0.2039759004571252,-0.2546877040034617,-1.67128501625457,-3.309346531006704,-0.38328460117044805,-0.7591497947269421,-0.5283260500505008,-0.31996646308945326,-0.7090545690263603,-0.63275641944545
2012-01-12 10:00:00,-0.6361609776842938,-0.9092521166864029,-0.1537492510369075,-0.22992887025655057,-0.21665149749108292,-0.11455572814819664,-0.18766193364790715,-0.1854120765989797,-1.835553758418642,-2.042284146012931,-0.43632530449417856,-0.5036072638762045,-0.33545629159032214,-0.3349168232640845,-0.41394066778987443,-0.3041272895896648
2012-01-12 11:00:00,-0.7364140243126279,-1.1117612370619043,-0.1732653339792706,-0.2883391282175597,-0.2842042595858467,-0.134294212531624,-0.22456785855773306,-0.20943223913998846,-1.7420113490688915,-1.920289978757906,-0.40480955067473845,-0.4832220726868979,-0.3834454062622879,-0.31152267223680274,-0.3829725365105081,-0.30133224627586447
2012-01-12 12:00:00,-0.7696672482953235,-1.3757567562949473,-0.17530234896260566,-0.3545111066789857,-0.36469248479207944,-0.14153136187434548,-0.27722161832610337,-0.2773477098080938,-1.701029067901855,-2.280294458916847,-0.37376517916305996,-0.5626542155179806,-0.49765119846205463,-0.30469476862778444,-0.4543869382825288,-0.41339666612097364
2012-01-12 13:00:00,-0.8211837068277328,-1.551613672100069,-0.1819090622236499,-0.3885648284098429,-0.4184016256503052,-0.15352980210610503,-0.31102884269311776,-0.3200775915828685,-1.7842573546289924,-2.703884193146846,-0.3755194108142455,-0.6550681826238477,-0.5851490561833809,-0.32428740039745196,-0.5338959849503504,-0.5040455898816668
2012-01-12 14:00:00,-0.7182480142698023,-1.6901933378916858,-0.1412737028291677,-0.3650044014491127,-0.37962937502292493,-0.13204876031165141,-0.3305373842071195,-0.3465943558306999,-1.7669763789530455,-2.947224321780936,-0.32681259604222723,-0.6211397173466419,-0.5092760669644519,-0.3186836557685571,-0.5735852701741047,-0.5395246320481285
2012-01-12 15:00:00,-0.5117589849191433,-2.399019624429471,-0.06401431787401393,-0.3103601143174877,-0.29405786492114394,-0.08913618991021935,-0.46696254280426874,-0.5054546679983205,-1.7414555541693664,-4.067982538682675,-0.17801673774584814,-0.5010593296677646,-0.3574440766440995,-0.29978205599907776,-0.7739017869969858,-0.7252965005367518
2012-01-12 16:00:00,-0.560613294273869,-5.664722177781954,0.0,0.0,0.0,-0.10436484800050605,-1.1154490375635349,-1.279152259996595,-0.9947471895371715,-6.989936809681781,0.0,0.0,0.0,-0.14630666571424533,-1.3712264899713786,-1.4496301003959957
2012-01-12 17:00:00,-0.7148915857647382,-6.86212587147122,0.0,0.0,0.0,-0.150194411555993,-1.3555197733390414,-1.6373971951591575,-0.738539652047385,-7.550974645766439,0.0,0.0,0.0,-0.14179262423375766,-1.4788132521422757,-1.7845283433620065
2012-01-12 18:00:00,-1.0233984990563836,-7.269412570529514,0.0,0.0,0.0,-0.19948381218347402,-1.4063053283434035,-1.6975823106803933,-0.9312695754947946,-7.963476790243121,0.0,0.0,0.0,-0.17411435288823865,-1.545189306221787,-1.873081323128632
2012-01-12 19:00:00,-0.8062986634600355,-7.2750192605801445,0.0,0.0,0.0,-0.16550673482722084,-1.4722056086086925,-1.7087922953687964,-0.6529918652028283,-7.470501225714809,0.0,0.0,0.0,-0.13235908858072545,-1.4988828605870013,-1.8593407384220497
2012-01-12 20:00:00,-0.7059797542978083,-7.08255055211652,0.0,0.0,0.0,-0.1500327538841779,-1.4171968043942513,-1.6208803695896041,-0.47965381211676866,-7.1804542827463225,0.0,0.0,0.0,-0.10575740458360793,-1.4323230640074727,-1.7341775670385988
2012-01-12 21:00:00,-0.49089064091044565,-6.869928227147668,0.0,0.0,0.0,-0.10134579998552486,-1.3959031796723194,-1.6121785650331275,-0.10626160205630794,-6.797091426498934,0.0,0.0,0.0,-0.02750212108609088,-1.3654362044692874,-1.7154922911682087
2012-01-12 22:00:00,-0.3636020123605771,-6.889752717296104,0.0,0.0,0.0,-0.07249105666757345,-1.389894256486328,-1.596740153364477,-0.07602407835211064,-6.604081528527396,0.0,0.0,0.0,-0.008687244356611263,-1.329018088363922,-1.660600212904669
2012-01-12 23:00:00,-0.37060204405242986,-6.312231628825776,0.0,0.0,0.0,-0.059886092648209634,-1.3115878047234484,-1.534567931639443,-0.14213073103948928,-6.303667283216059,0.0,0.0,0.0,-0.00696540768032686,-1.3038383946440997,-1.6827062738552845
2012-02-22 00:00:00,-0.5050772857666016,-6.757323044996995,0.0,0.0,0.0,-0.10878173278525116,-1.5216536216227075,-1.4698321859856958,-1.7684581461939315,-6.738349651468211,0.0,0.0,0.0,-0.36274842075596636,-1.4897784919938843,-1.268553457442828
2012-02-22 01:00:00,-0.6318720049858093,-7.683314514160156,0.0,0.0,0.0,-0.105073481897664,-1.54602681384462,-1.406090000682407,-1.0813939070928664,-7.1583440871465776,0.0,0.0,0.0,-0.16263478321849023,-1.4726954507466223,-1.2404509109416335
2012-02-22 02:00:00,-0.6582386227269327,-7.725257135206653,0.0,0.0,0.0,-0.08614634217996421,-1.4673929884426977,-1.3978264021788018,-1.538957829875331,-7.272479641822077,0.0,0.0,0.0,-0.22720800033948407,-1.4199637887258527,-1.3334184544060819
2012-02-22 03:00:00,-0.5037384381975447,-10.26507568359375,0.0,0.0,0.0,-0.08492129186887598,-1.902208375648174,-1.8033856043739926,-2.637746224539621,-8.3575439453125,0.0,0.0,0.0,-0.42357286215797496,-1.490951310090558,-1.5685064794146828
2012-02-22 04:00:00,-1.1489056968688967,-8.916866302490234,0.0,0.0,0.0,-0.13647622895915673,-1.4236733303705478,-1.1886300987667506,-2.5896697597503664,-8.346988677978516,0.0,0.0,0.0,-0.3587288769981879,-1.447901858443133,-1.005766388575236
2012-02-22 05:00:00,0.17054699325561526,-8.296638488769531,0.0,0.0,0.0,0.07917255040230789,-1.4519503320021236,-1.3539914124100296,-2.100123987833659,-8.069961547851562,0.0,0.0,0.0,-0.32183672380765166,-1.454863018082569,-1.2653258599175348
