datetime,dT_calc_mean_9km,dT_model_mean_9km,dGPP_calc_mean_9km,dGPP_model_mean_9km,dGPP_real_mean_9km,dRECO_calc_mean_9km,dRECO_model_mean_9km,dRECO_real_mean_9km,dT_calc_mean_54km,dT_model_mean_54km,dGPP_calc_mean_54km,dGPP_model_mean_54km,dGPP_real_mean_54km,dRECO_calc_mean_54km,dRECO_model_mean_54km,dRECO_real_mean_54km
2012-01-20 00:00:00,-0.6689740326055422,-4.3003633251748825,0.0,0.0,0.0,-0.11365928346326676,-0.8736368879693337,-0.883168305734146,-1.1091435477174358,-4.291030946582433,0.0,0.0,0.0,-0.18378842208535795,-0.9050865881660849,-0.9257338883267194
2012-01-20 01:00:00,-0.6617169425233881,-4.382232179032996,0.0,0.0,0.0,-0.13572896759460623,-0.8765256303483869,-0.911000721522286,-0.9406934022700535,-4.1592642601500165,0.0,0.0,0.0,-0.17528917889433474,-0.84322944818974,-0.847238648752982
2012-01-20 02:00:00,-0.9290438555975031,-3.7749246193544708,0.0,0.0,0.0,-0.1972311707932418,-0.7845062129280514,-0.8772314487014778,-1.2837082360007546,-4.521603030758304,0.0,0.0,0.0,-0.2257573271825033,-0.9073230494705868,-0.8810069293806772
2012-01-20 03:00:00,-0.6621052366241696,-4.0107787124753935,0.0,0.0,0.0,-0.10216865863918356,-0.8077570336469018,-0.8707550345427348,-1.1900474556750202,-4.979258379598302,0.0,0.0,0.0,-0.1838002791382306,-0.993416455571138,-1.061088309330212
2012-01-20 04:00:00,-0.8454476954297321,-3.8271958886123283,0.0,0.0,0.0,-0.16955922758380054,-0.8403937669289766,-1.0114880192589988,-1.1985601925268408,-5.073168312631002,0.0,0.0,0.0,-0.22329682087844635,-1.089982858767734,-1.308235997687266
2012-01-20 05:00:00,-1.3243530142015025,-4.818626157699093,0.0,0.0,0.0,-0.27824651758114294,-1.0322425394189385,-1.0974779031083766,-2.2777235833180103,-6.099695133257516,0.0,0.0,0.0,-0.451900624342096,-1.2891872293408784,-1.394550224600453
2012-01-20 06:00:00,-1.3382248903910319,-4.4938016060071115,0.0,0.0,0.0,-0.27148081146859115,-0.9330778576855392,-0.9533143507872236,-2.5543624776204426,-5.790076818221655,0.0,0.0,0.0,-0.5056097517594303,-1.1671563373143585,-1.2143558900134703
2012-01-20 07:00:00,-1.0067200877977454,-5.046105094577955,1.1341206641328483e-05,-0.0010493447555117927,-0.0008718990571482433,-0.1773317439094341,-1.0648855871208216,-1.0785302518084792,-2.2494920101995053,-4.833841240924338,0.00015283343704345376,-0.0018202607968725252,-0.0016101099020039685,-0.42252088025925877,-0.9916552174780269,-1.0677010793201382
2012-01-20 08:00:00,-0.8920306072235107,-3.2339956821539464,-0.052039006495731815,-0.24950619288846193,-0.23304914436912957,-0.16879899046570604,-0.6914202096985219,-0.7997522300832345,-2.0477461267869423,-4.7311964183581585,-0.14828617740879388,-0.38890920590270206,-0.30978909187169074,-0.3950227430863629,-0.9978882594259261,-1.051368307746522
2012-01-20 09:00:00,-0.7837845909954751,-1.3662857160176316,-0.07864459989431957,-0.16592194651262412,-0.18268335875319636,-0.13415626393206165,-0.285881903296897,-0.40246647749932674,-1.9060444925435385,-3.9354934692382812,-0.23872328205679197,-0.5002019271254721,-0.38735610317350627,-0.3510251571534731,-0.7999141276743303,-0.8393848617359033
2012-01-20 10:00:00,-0.8035240968918418,-0.5034039012888536,-0.07857884631980316,-0.04416467892780848,-0.0358938921807102,-0.131807365581134,-0.11928341387567078,-0.17337354190305537,-1.8368439582291685,-3.1805548165712167,-0.24258147208111017,-0.4426150865572725,-0.31888665593253934,-0.31687620435717084,-0.6328917810793994,-0.6163322889274038
2012-01-20 11:00:00,-0.9178018901077581,-0.3198995037468112,-0.10566217936115503,-0.008468271779570762,0.0072592128220441594,-0.15363355036770215,-0.07194403719071063,-0.10313962499136542,-2.0206720452729394,-3.1063779693802975,-0.273447746131261,-0.45249663245142635,-0.30033328090587713,-0.35602086629320623,-0.6038142976501742,-0.5691286028132546
2012-01-20 12:00:00,-0.7615966772932693,-0.9992387811786032,-0.08261413708428678,-0.12541615026244624,-0.04364767305187817,-0.12228136146526483,-0.18172358799698898,-0.19733989914939865,-2.126351891330236,-3.0109127661026203,-0.2923242834829781,-0.42342788767174827,-0.15288938470685604,-0.3695792484558065,-0.5669536188891642,-0.4934707422804271
2012-01-20 13:00:00,-0.8579523384675424,-1.5930492961175553,-0.10544934664464851,-0.22412525639219008,-0.1394210028054519,-0.1430110449316654,-0.29008260583321294,-0.273307641414029,-2.252581053698988,-3.2476510870946598,-0.3172075464930121,-0.46690849804440954,-0.21382046800050086,-0.3970746689772231,-0.6134158051036738,-0.5357668970992114
2012-01-20 14:00:00,-0.8963808416576461,-2.0715078785550642,-0.09358358906148398,-0.2680196674788426,-0.2104663892013765,-0.15016680697891668,-0.39276895200600154,-0.3776759532335087,-2.465809477096919,-3.895732207547416,-0.303577421535432,-0.5034915378910948,-0.3025854708098311,-0.43788247765308236,-0.7451923570689679,-0.6342859388187565
2012-01-20 15:00:00,-1.2726207890986945,-3.1620971505467264,-0.08577785711186374,-0.26384182000295,-0.24979342839211607,-0.2150390315444317,-0.6050369939999924,-0.5753555498787033,-2.7869477779450427,-5.774423573714597,-0.22414678472057198,-0.5023493340486209,-0.38035414504839254,-0.49139111837649163,-1.0930701159130507,-1.0142805426762238
2012-01-20 16:00:00,-1.9366451115266778,-4.811301902488426,-0.00317150205995098,-0.008968646116814258,-0.00753337538016471,-0.3345211761713744,-0.9052465118175131,-0.8023557130903837,-3.619727972515083,-7.224117162037481,-0.009058675646845015,-0.017991121477200965,-0.011091012940653788,-0.6294970638686971,-1.3293373306166287,-1.177079717976796
2012-01-20 17:00:00,-1.8901628548984708,-4.614661561033596,0.0,0.0,0.0,-0.3204480071955272,-0.8570411296631261,-0.7534467547830168,-3.7099631074209065,-7.439225066654266,0.0,0.0,0.0,-0.6334264972545509,-1.344904883308657,-1.178660910278091
2012-01-20 18:00:00,-1.6385400747249388,-4.623997748355895,0.0,0.0,0.0,-0.26596617224597097,-0.8631624350788453,-0.774679573216155,-3.243947551709823,-6.9451915944805585,0.0,0.0,0.0,-0.5395710757743573,-1.277273566494112,-1.115880280882337
2012-01-20 19:00:00,-1.8730702922127467,-4.751123975206922,0.0,0.0,0.0,-0.32444847594860554,-0.8955321199214492,-0.7898360985965289,-3.679728466727517,-6.641136062728775,0.0,0.0,0.0,-0.6348786828775469,-1.2230977184866039,-1.026292672302934
2012-01-20 20:00:00,-2.104136055039482,-4.113129785455809,0.0,0.0,0.0,-0.34645968652668824,-0.7408787139543782,-0.577103677569166,-4.088474271281821,-6.30402024065862,0.0,0.0,0.0,-0.6885981316210751,-1.1220130846567,-0.8489308168837826
2012-01-20 21:00:00,-2.010644086080439,-3.5145264419854856,0.0,0.0,0.0,-0.32123779351477166,-0.6101894665107777,-0.45103708284735144,-3.983362820494409,-5.3491770426432295,0.0,0.0,0.0,-0.6444991025861867,-0.9356443314843833,-0.6638632732823337
2012-01-20 22:00:00,-1.633242704603407,-3.1157889080862713,0.0,0.0,0.0,-0.234659800094501,-0.5262363510824379,-0.35051628231986254,-3.6302355209677555,-5.631143624441965,0.0,0.0,0.0,-0.5449157494349297,-0.987690824863823,-0.6452211381690176
2012-01-20 23:00:00,-1.4793694207327708,-2.8915831273915815,0.0,0.0,0.0,-0.2004913670395462,-0.48559853008032944,-0.30022204537188496,-3.7311356457587217,-4.777891958913496,0.0,0.0,0.0,-0.553556471951189,-0.8004558441937845,-0.4169734853296826
