,GPP_1km,RECO_1km,T2_1km,SWDOWN_1km,GPP_9km,RECO_9km,T2_9km,SWDOWN_9km,GPP_54km,RECO_54km,T2_54km,SWDOWN_54km,GPP_CAMS,RECO_CAMS,T2_CAMS,SWDOWN_CAMS
2012-02-22 14:00:00,0.37697787001214517,1.3789518177796132,0.5650345369304364,450.0279235839844,0.3510356606438377,1.3910116372503765,0.9738734780559452,447.9120726405824,0.3249887738461562,1.3984775441761361,1.2703426789140695,451.33891772720636,,,,
2012-02-22 15:00:00,0.3066394275031706,1.338278000677138,0.3011507093507353,293.6467590332031,0.29367892358519704,1.3678525998268953,0.7887163536131084,291.98679114755777,0.2479840354354174,1.3599128686030661,1.049332572381905,297.6838396407593,1.1715885958514376,0.3477971184084102,5.711228315275701,407.2221603331557
2012-02-22 16:00:00,0.10861769167287234,1.1299534740705774,-0.8736091514673793,112.88671875,0.06470594253840342,1.0332727652110563,-1.2270742421312208,111.78669728695,0.04547553940065103,1.0565443970313355,-0.7540858437595362,119.87070951622486,,,,
2012-02-22 17:00:00,0.0,0.9347386796659063,-2.042178235985413,0.0,0.0,0.7485506146912022,-2.9825127981814425,0.0,0.0,0.6859856560128385,-2.996126890142395,0.0,,,,
2012-02-22 18:00:00,0.0,0.9198582285038662,-2.128319725413065,0.0,0.0,0.6839237845936327,-3.4446693616404116,0.0,0.0,0.6800601475680692,-3.5853218136681764,0.0,0.0,0.22457110145579856,1.0163627117900356,63.803701664390196
2012-02-22 19:00:00,0.0,0.9136171222904201,-2.1682104666480195,0.0,0.0,0.6468003666609825,-3.7384029901938876,0.0,0.0,0.6354117706642514,-4.038000102670057,0.0,,,,
2012-02-22 20:00:00,0.0,0.9108214189172118,-2.1864486608436935,0.0,0.0,0.6178282540276661,-3.923797681170462,0.0,0.0,0.6264074490221703,-4.021877895305194,0.0,,,,
2012-02-22 21:00:00,0.0,0.9096600229737588,-2.193128132051546,0.0,0.0,0.6137930031968872,-3.9496656453146337,0.0,0.0,0.6321485275780694,-4.115791225230448,0.0,0.0,0.21638372239130887,-2.7655605800468437,0.0
2012-02-22 22:00:00,0.0,0.9093448268013934,-2.1969588165662075,0.0,0.0,0.6056779818177916,-3.9644368105189858,0.0,0.0,0.5783339080099217,-4.443031196489724,0.0,,,,
2012-02-22 23:00:00,0.0,0.9085227734521536,-2.2119222040719326,0.0,0.0,0.6017557154924552,-3.9990420532468858,0.0,0.0,0.5991201659882014,-4.51422742550261,0.0,,,,
2012-03-27 00:00:00,0.0,1.5231966193727524,0.9317046897435644,0.0,0.0,1.0822952372414252,-1.293959174465944,0.0,0.0,1.0784436487937423,-1.1514860265753346,0.0,0.0,0.7474923855768566,5.105319283620528,0.0
2012-03-27 01:00:00,0.0,1.4793205555604323,0.7159395511283227,0.0,0.0,1.040590601003284,-1.4766974192435227,0.0,0.0,1.0638276498653711,-1.4266422277061173,0.0,,,,
2012-03-27 02:00:00,0.0,1.437108030405726,0.4970598223884667,0.0,0.0,1.0100082135339106,-1.6391124700097928,0.0,0.0,1.0387946858430936,-1.7623702114433162,0.0,,,,
2012-03-27 03:00:00,0.0,1.4003960277380316,0.30221949401967163,0.0,0.0,0.9760309790524541,-1.850926275907333,0.0,0.0,0.9941716452331882,-2.135126150277394,0.0,0.0,0.6425896356509583,2.724149155812657,0.0
2012-03-27 04:00:00,0.0,1.3625948972885549,0.10108551141524193,0.0,0.0,0.9387238463249629,-2.103636389529785,0.0,0.0,0.9359642830385148,-2.5780156176615368,0.0,,,,
2012-03-27 05:00:00,0.0,1.327418380468335,-0.08500594596093915,0.0,0.0,0.9153604129972448,-2.268568304360477,0.0,0.0,0.9132984559498031,-2.787179508956843,0.0,,,,
2012-03-27 06:00:00,0.4575077269054169,1.4904691485022352,0.8953125071022675,126.12055969238281,0.21102780331629684,1.159891364555399,-0.6008814733640536,127.19824246759116,0.19241294536884862,1.0340548668625424,-1.514923584587222,128.88730042184855,0.9307997305357251,0.6106670114449485,2.6185739228009925,14.091102551314254
2012-03-27 07:00:00,0.9716800510913625,1.651678497775002,1.8605668513112337,325.4983825683594,0.5374170543466801,1.3953287812722983,0.8301920038536752,327.3714215729834,0.48060621625284017,1.2432965604103436,0.11694752909965561,315.1656942787969,,,,
2012-03-27 08:00:00,1.3066450055669605,1.7431692783239494,2.4043879004407085,512.9053955078125,0.8348015878503589,1.5469211607262092,1.7205652391014905,515.3203226934868,0.82806028509392,1.507854300617645,1.758159748270581,506.42564135546695,,,,
2012-03-27 09:00:00,1.5278527665938901,1.7995800515264322,2.7409053774297427,666.81787109375,1.0688379812028963,1.643079768753147,2.2748516459047825,669.3574153757667,1.088569970779529,1.6314214499071975,2.4450149506489156,662.3343481355928,4.942289179458049,1.1410377298646528,10.364745601984774,353.2178997561586
2012-03-27 10:00:00,1.700286585809756,1.8484566833894602,3.027109740247358,773.4830322265625,1.2460363895140962,1.7068446028960451,2.630853602300702,775.9699723884754,1.2939877422680437,1.7032334853113307,2.8225600515708154,771.1072067989069,,,,
2012-03-27 11:00:00,1.8331628221153933,1.8931787399086266,3.2837317878864214,824.4512329101562,1.3648877300840716,1.7511118303925652,2.8720008634027723,826.8048982204627,1.3997296203420233,1.7399951210658553,3.003074837055367,824.3987746767226,,,,
2012-03-27 12:00:00,1.9196286145790378,1.9321966950307372,3.5018672008906333,815.8665161132812,1.430238861542222,1.7819966004372025,3.0452184346823894,817.9411220077691,1.438923080771299,1.7616185072451072,3.102492726748756,817.6549037226482,6.5135673567771235,1.4737157764338842,13.87857813772321,697.1883096719587
2012-03-27 13:00:00,1.9492869444256484,1.9613953851626293,3.658523396506633,748.6309814453125,1.4399472635315456,1.800801632789293,3.142982640188574,750.1954611614879,1.4110883472527085,1.7674834437081757,3.1273477005804144,752.403481906422,,,,
2012-03-27 14:00:00,1.9021218190658475,1.9779941827007634,3.7376474625652802,628.1539306640625,1.3754141151508328,1.798934710172798,3.1288409343536165,629.1233463361687,1.322734576990984,1.7624326315095014,3.0904469260234118,634.2168415806102,,,,
2012-03-27 15:00:00,1.7462769674182095,1.977315355443081,3.70895024497065,464.31121826171875,1.2339671466543878,1.778552999811272,3.0079912198917995,464.4561665529716,1.1734321459156085,1.747960461861776,3.0134787604722675,471.78287871334237,5.2163424557499045,1.4588002087965464,14.432842673676609,580.1431099287634
2012-03-27 16:00:00,1.3678009781084848,1.9311149740591227,3.4056312194166045,272.40557861328125,0.9293441246286275,1.7159444761068843,2.627319033561353,272.0870554665901,0.9275281098677342,1.7184050460658573,2.84418883233333,281.1086096867192,,,,
