,GPP_1km,RECO_1km,T2_1km,SWDOWN_1km,NEE_1km,GPP_9km,RECO_9km,T2_9km,SWDOWN_9km,NEE_9km,GPP_54km,RECO_54km,T2_54km,SWDOWN_54km,NEE_54km,GPP_CAMS,RECO_CAMS,T2_CAMS,SWDOWN_CAMS,NEE_CAMS
2012-09-19 11:00:00,7.741900337438446,2.923102443421428,8.87008493860576,278.2810363769531,-4.818797894017019,7.469879549696751,2.7931378570719967,8.579756360033793,265.8155199580099,-4.676741692624754,6.4892878335309065,2.680839726957373,8.290734114291535,274.49880283628806,-3.8084481065735334,6.058043574782013,2.1079119156906154,14.265175355934048,295.2127094180782,-3.9501316590913973
2012-09-19 12:00:00,7.684691824055796,2.905333119362487,8.759554541101641,273.5538330078125,-4.779358704693308,7.274104709820305,2.7785571149154857,8.456270836289146,266.61083895824885,-4.495547594904819,6.314564564771127,2.669230575345399,8.22590715083478,289.63675185805664,-3.6453339894257275,6.289719008672452,2.1590974653802175,14.548271031775535,357.2801937045441,-4.130621543292234
2012-09-19 13:00:00,7.325247134849472,2.8768544021909546,8.57859093422869,253.70816040039062,-4.448392732658517,6.704734167355257,2.7467739404712646,8.258510763669566,244.32077611820543,-3.9579602268839924,6.233757621951524,2.657774556479787,8.158066781690502,284.8167986782976,-3.575983065471737,5.465807811737475,2.1111327628297665,14.13087156863044,328.38691933526195,-3.354675048907709
2012-09-19 14:00:00,6.484386383665078,2.8222543377063776,8.260854941011004,210.0979461669922,-3.6621320459587006,5.573798745883131,2.685384073604738,7.9090052230502215,192.59494852757146,-2.8884146722783934,5.573360459881611,2.6286653951566956,8.042830221700415,226.21806513612884,-2.9446950647249155,4.641896614802498,2.063168060279316,13.713472105485344,299.49364496597974,-2.578728554523182
2012-09-19 15:00:00,5.018458483137514,2.738979089945447,7.780793659752374,141.73049926757812,-2.2794793931920667,4.020788387526353,2.5670928419479253,7.242140935801152,133.38670458063615,-1.4536955455784275,4.355023316755991,2.555141278267094,7.632186664814605,155.4673429015116,-1.7998820384888972,3.817985417867521,2.015203357728865,13.296072642340249,270.6003705966976,-1.8027820601386564
2012-09-19 16:00:00,2.9541099674832094,2.6365433263288645,7.187104207828996,69.98332214355469,-0.31756664115434496,2.4062357230923417,2.430152289024266,6.449908335939118,71.69743184903301,0.02391656593192426,2.7891092411320266,2.4660172778349456,7.1182314213157065,87.9022184764567,-0.323091963297081,2.545323611911681,1.9164939561104024,12.511003563582157,202.4754561638539,-0.6288296558012787
2012-09-19 17:00:00,0.37570229838663116,2.5056445030500973,6.451700471182906,7.542062759399414,2.1299422046634664,0.3351815755191807,2.2570693521002014,5.4778605460294205,8.00090615820317,1.9218877765810207,0.0,2.314444559134686,6.220163014287044,0.0,2.314444559134686,1.2726618059558406,1.8177845544919398,11.725934484824068,134.3505417310102,0.5451227485360992
2012-09-19 18:00:00,0.0,2.4195880918592496,5.941633144263153,0.0,2.4195880918592496,0.0,2.1361794981786195,4.791520035792524,0.0,2.1361794981786195,0.0,2.1879289177504417,5.482124397069379,0.0,2.1879289177504417,0.0,1.7190751528734773,10.940865406065976,66.2256272981665,1.7190751528734773
2012-09-19 19:00:00,0.0,2.3434592354147616,5.500542338066844,0.0,2.3434592354147616,0.0,2.064503397266234,4.385469774869268,0.0,2.064503397266234,0.0,2.0641221862992616,4.779052480958421,0.0,2.0641221862992616,0.0,1.6499343383808847,10.309656101824146,44.15041819877767,1.6499343383808847
2012-09-19 20:00:00,0.0,2.2679343154637097,5.08197419219684,0.0,2.2679343154637097,0.0,1.997249025441142,4.021409488429259,0.0,1.997249025441142,0.0,1.9763597561542863,4.29098424803241,0.0,1.9763597561542863,0.0,1.580793523888292,9.678446797582318,22.075209099388836,1.580793523888292
