,GPP_1km,RECO_1km,T2_1km,SWDOWN_1km,GPP_9km,RECO_9km,T2_9km,SWDOWN_9km,GPP_54km,RECO_54km,T2_54km,SWDOWN_54km,GPP_CAMS,RECO_CAMS,T2_CAMS,SWDOWN_CAMS
2012-07-27 00:00:00,0.0,2.3002890339201483,14.75087550197133,0.0,0.0,2.014857425753573,13.003260985631119,0.0,0.0,1.9746745535675685,13.09971764231408,0.0,0.0,2.712444268041944,18.933597415338642,0.0
2012-07-27 01:00:00,0.0,2.2728665866495423,14.514119798799646,0.0,0.0,1.9790923057227177,12.715780618742464,0.0,0.0,1.9641219229929687,13.033030374203827,0.0,,,,
2012-07-27 02:00:00,0.0,2.2523896688059297,14.346941155778802,0.0,0.0,1.9511204377332982,12.485900493801914,0.0,0.0,1.9594299004449047,13.035851332357064,0.0,,,,
2012-07-27 03:00:00,0.0,2.2340613958632556,14.213362970444273,0.0,0.0,1.9251178543942735,12.282746372303917,0.0,0.0,1.9416396960189644,12.877596577497105,0.0,0.0031123579483774565,2.505191249508592,16.397062425485387,0.0
2012-07-27 04:00:00,0.22994333108499876,2.21918196756883,14.118677675825651,3.351699113845825,0.2211871607569693,1.908799619834698,12.143700846883338,3.4898096197405133,0.0,1.922779437081591,12.706472687451827,0.0,,,,
2012-07-27 05:00:00,6.475572602657864,2.3477866244966212,15.264298535428077,140.96104431152344,6.251921206701381,2.1047398945464026,13.89600420625134,141.60228114484062,3.362063115828201,1.9869585940180532,13.287579136047151,65.43255479984873,,,,
2012-07-27 06:00:00,10.614794618340646,2.4826718227131397,16.475598699082227,323.96820068359375,10.610447467829612,2.3775108181188376,16.270163947544773,324.47592906043036,11.349647371744268,2.296804016444422,16.02970052711701,391.8577345842222,7.486106460948283,2.8637056597383057,19.288388889901494,78.38629070323336
2012-07-27 07:00:00,12.92173724453329,2.6012224363631704,17.494621782986407,508.2772216796875,13.061989379154353,2.5732385003766733,17.98511333186779,508.5321831115476,13.44357075162927,2.5506558090677087,18.331862601309457,556.6645460956985,,,,
2012-07-27 08:00:00,14.225268600990901,2.715945488322149,18.44715308234893,674.98974609375,14.423111845747322,2.714364658808712,19.201506667010364,675.0163027703584,14.570635713177685,2.7078210387703034,19.74715883698099,703.2452984320065,,,,
2012-07-27 09:00:00,14.91683605684409,2.830963236577955,19.381953792150345,809.949462890625,15.137126245484437,2.831544878749847,20.1969363171448,809.7941162839653,15.182609340269925,2.812855165762873,20.71209967042014,820.0823466956937,13.053243313039323,3.649905951939826,25.10322151946891,487.36180303433304
2012-07-27 10:00:00,15.187329899914257,2.9401264532570908,20.25968432502786,902.3201293945312,15.426339985347731,2.9301905131729042,21.02567621698716,901.1452120031439,15.318076430873134,2.8965364645639684,21.45609463583876,876.088641331456,,,,
2012-07-27 11:00:00,15.160002225707919,3.0349015097730945,21.022664431306158,944.179443359375,15.420545341777077,3.0077390035840263,21.672894433937415,937.4642381369526,15.351236626559345,2.9741981772772177,22.150135609631224,902.6729073451376,,,,
2012-07-27 12:00:00,14.90903858301639,3.1097100539738336,21.628301515545353,932.2288818359375,15.172147970088659,3.0653185890475445,22.144250591700086,915.4830307386185,15.072690053500299,3.0020704579426583,22.35153024325249,866.0005889914038,12.773415534784993,4.033253888601533,27.70589924245419,797.6956601843258
2012-07-27 13:00:00,14.473268956821059,3.157709114713163,22.014709577366393,866.7252807617188,14.738741914955185,3.0981053456468866,22.407651451695173,841.5526886030646,14.61839334852398,3.0442131044250855,22.706045506460516,801.4780550307992,,,,
2012-07-27 14:00:00,13.839656683493148,3.1757080164887,22.148916024397252,752.72314453125,13.997114200427545,3.1012098031933704,22.421453416628456,723.1242140259114,13.635156872385512,3.0030328112394917,22.359808741820757,673.7575643204377,,,,
2012-07-27 15:00:00,12.958734314978177,3.1566111101290057,21.948888078215653,599.6860961914062,12.881559329165864,3.0589305230477972,22.036030544797786,568.4754270233533,12.840938149384677,2.9805482753829473,22.08507150021917,561.2358052474677,10.615254347450806,4.165134242299196,27.275150226013867,650.9669751979346
2012-07-27 16:00:00,11.5636136358849,3.1019589470388613,21.4098971870788,424.0483703613281,11.208724396024063,2.9765454684564343,21.29648091771765,396.1123230994901,11.769433918913585,2.9303632425901665,21.614980468389245,427.43224812474267,,,,
2012-07-27 17:00:00,8.996957463031837,2.9926201648271555,20.495622131288172,243.3308868408203,8.405526615360635,2.826401393642811,20.01501565685711,218.87366057590094,7.361359234342794,2.835182419280547,20.80481263422,172.91959420332157,,,,
2012-07-27 18:00:00,4.3937420651009145,2.814589861929819,19.069473371311705,81.95235443115234,4.27566199510993,2.6201622433922607,18.258942040024255,78.95604377754434,2.7890577743641116,2.6281283646155464,19.014553085148517,47.47712985788354,2.3182951138694436,3.7248102898031274,24.03730226896208,254.25581131246713
2012-07-27 19:00:00,0.0,2.6587651766605784,17.75897341191735,0.0,0.0,2.406570623454352,16.387344940823798,0.0,0.0,2.4448736154205575,17.377007188216307,0.0,,,,
2012-07-27 20:00:00,0.0,2.585862011077961,17.18364441981388,0.0,0.0,2.332861631928418,15.763871616301358,0.0,0.0,2.3526844379663165,16.495385119579392,0.0,,,,
2012-07-27 21:00:00,0.0,2.539408351660235,16.80417484854868,0.0,0.0,2.2824296038798906,15.337234168513874,0.0,0.0,2.282680627042477,15.874218468991119,0.0,0.0,3.1329192350545774,20.021593832717663,8.542044056428482
2012-07-27 22:00:00,0.0,2.496691678660529,16.457647070387,0.0,0.0,2.2322727713939923,14.934032671684008,0.0,0.0,2.234052423967533,15.461624918991346,0.0,,,,
