,CH-Dav_REF_GPP_WRF,IT-Lav_REF_GPP_WRF,IT-Ren_REF_GPP_WRF,AT-Neu_REF_GPP_WRF,IT-MBo_REF_GPP_WRF,CH-Dav_ALPS_GPP_WRF,IT-Lav_ALPS_GPP_WRF,IT-Ren_ALPS_GPP_WRF,AT-Neu_ALPS_GPP_WRF,IT-MBo_ALPS_GPP_WRF,CH-Dav_SITE_GPP_WRF,IT-Lav_SITE_GPP_WRF,IT-Ren_SITE_GPP_WRF,AT-Neu_SITE_GPP_WRF,IT-MBo_SITE_GPP_WRF,CH-Dav_REF_RECO_WRF,IT-Lav_REF_RECO_WRF,IT-Ren_REF_RECO_WRF,AT-Neu_REF_RECO_WRF,IT-MBo_REF_RECO_WRF,CH-Dav_ALPS_RECO_WRF,IT-Lav_ALPS_RECO_WRF,IT-Ren_ALPS_RECO_WRF,AT-Neu_ALPS_RECO_WRF,IT-MBo_ALPS_RECO_WRF,CH-Dav_SITE_RECO_WRF,IT-Lav_SITE_RECO_WRF,IT-Ren_SITE_RECO_WRF,AT-Neu_SITE_RECO_WRF,IT-MBo_SITE_RECO_WRF,CH-Dav_REF_T2_WRF,IT-Lav_REF_T2_WRF,IT-Ren_REF_T2_WRF,AT-Neu_REF_T2_WRF,IT-MBo_REF_T2_WRF,CH-Dav_ALPS_T2_WRF,IT-Lav_ALPS_T2_WRF,IT-Ren_ALPS_T2_WRF,AT-Neu_ALPS_T2_WRF,IT-MBo_ALPS_T2_WRF,CH-Dav_SITE_T2_WRF,IT-Lav_SITE_T2_WRF,IT-Ren_SITE_T2_WRF,AT-Neu_SITE_T2_WRF,IT-MBo_SITE_T2_WRF
2012-01-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94074625,0.76936376,0.2574321,0.5702433,0.65214884,1.7616093,1.5971922,0.43671852,1.4712472,0.0,1.3636459,1.8319991,0.16769277,2.3503342,267.69562,273.49304,272.91498,269.78763,272.9532,267.69562,273.49304,272.91498,269.78763,272.9532,267.69562,273.49304,272.91498,269.78763,272.9532
2012-01-12 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4144182,0.58458275,0.738647,0.1764642,0.5836048,1.1555082,1.413101,1.5529181,0.2201344,1.5215936,0.7383474,0.7558473,1.7891896,0.0,2.396864,270.81784,271.50827,272.72015,269.03607,273.08862,270.81784,271.50827,272.72015,269.03607,273.08862,270.81784,271.50827,272.72015,269.03607,273.08862
2012-01-12 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4104229,0.5558977,0.8277612,0.15947632,0.6229185,1.1514983,1.3850325,1.6813639,0.17469285,1.6697283,0.7295594,0.706896,1.9133866,0.0,2.5337694,270.79297,271.34842,273.28537,268.8784,273.48712,270.79297,271.34842,273.28537,268.8784,273.48712,270.79297,271.34842,273.28537,268.8784,273.48712
2012-01-12 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1661848,0.8196264,0.74953544,0.1720323,0.60659754,0.9063747,1.6430928,1.5686123,0.20827934,1.6082305,0.19233929,1.1569532,1.8043647,0.0,2.4769335,269.27252,272.81808,272.7892,268.99493,273.3217,269.27252,272.81808,272.7892,268.99493,273.3217,269.27252,272.81808,272.7892,268.99493,273.3217
2012-01-12 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56461716,1.006035,0.8083708,0.18534118,0.5559546,1.3062518,1.8254946,1.6534154,0.24387978,1.4174068,1.0687214,1.4750621,1.8863626,0.0,2.3005745,271.75287,273.85687,273.16238,269.11847,272.80835,271.75287,273.85687,273.16238,269.11847,272.80835,271.75287,273.85687,273.16238,269.11847,272.80835
2012-01-12 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6095264,0.9538456,0.7950429,0.18339485,0.50776833,1.3513238,1.774427,1.6342051,0.23867342,1.2358401,1.1675024,1.3860002,1.8677876,0.0,2.1327717,272.03244,273.56604,273.07785,269.1004,272.31992,272.03244,273.56604,273.07785,269.1004,272.31992,272.03244,273.56604,273.07785,269.1004,272.31992
2012-01-12 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9484997,0.3789139,0.70831037,0.20062602,0.4909897,1.6915263,1.2118528,1.5091919,0.28476578,1.1726179,1.9131001,0.40487045,1.74691,0.0,2.0743418,274.14264,270.36215,272.52774,269.26035,272.14984,274.14264,270.36215,272.52774,269.26035,272.14984,274.14264,270.36215,272.52774,269.26035,272.14984
2012-01-12 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8372821,0.50123197,0.21445438,0.50320715,0.733191,1.6603689,1.2107171,0.32175577,1.2186533,0.0,1.1870828,1.4583087,0.036834497,2.1168876,268.1983,272.91647,271.21432,269.3887,272.27368,268.1983,272.91647,271.21432,269.3887,272.27368,268.1983,272.91647,271.21432,269.3887,272.27368
2012-01-12 08:00:00,0.0,-0.37327102,0.0,0.0,0.0,0.0,-0.5140006,0.0,0.0,0.0,0.0,-0.39140877,0.0,0.0,0.0,0.17721476,1.0566745,0.49165708,0.2871404,0.5239087,0.91744465,1.8750459,1.1969161,0.51618636,1.2966572,0.21660055,1.5614793,1.4449643,0.2581483,2.1889787,269.3412,274.13907,271.1536,270.0634,272.48352,269.3412,274.13907,271.1536,270.0634,272.48352,269.3412,274.13907,271.1536,270.0634,272.48352
2012-01-12 09:00:00,-0.5400421,-1.2285849,-0.37564686,0.0,-0.03671355,-0.7134031,-1.6161562,-0.49390632,0.0,-0.044015512,-0.6611693,-1.3449731,-0.381405,0.0,-0.0359589,1.0084243,1.276872,0.9380318,0.48976237,0.7480703,1.7516683,2.0905106,1.8403037,1.0581875,2.1413023,2.044909,1.9372495,2.0670686,0.87509,2.9695964,274.5157,275.36615,273.98477,271.94415,274.7557,274.5157,275.36615,273.98477,271.94415,274.7557,274.5157,275.36615,273.98477,271.94415,274.7557
2012-01-12 10:00:00,0.0,-1.5134583,-0.6080212,-0.005438719,-0.04681677,0.0,-1.9513345,-0.7834141,-0.0070395824,-0.055267677,0.0,-1.6905912,-0.6306555,-0.006050741,-0.04664357,0.6054623,1.3052832,0.9922192,0.6208885,0.7656618,1.3472451,2.118311,1.9184072,1.4089416,2.2075877,1.1585636,1.9857336,2.1425886,1.2743418,3.0308568,272.00714,275.52448,274.32846,273.1613,274.93402,272.00714,275.52448,274.32846,273.1613,274.93402,272.00714,275.52448,274.32846,273.1613,274.93402
2012-01-12 11:00:00,-0.44273224,-1.6380997,-0.66130537,-0.24058375,-0.05050486,-0.56702584,-2.0959194,-0.8456167,-0.30889103,-0.05926954,-0.55766696,-1.8443664,-0.6916034,-0.2698818,-0.050659716,0.9315772,1.318514,0.99879646,0.6712373,0.77046984,1.6745424,2.1312575,1.9278876,1.5436218,2.2257047,1.8758779,2.0083122,2.151755,1.4276437,3.0476007,274.0373,275.5982,274.37018,273.62863,274.98276,274.0373,275.5982,274.37018,273.62863,274.98276,274.0373,275.5982,274.37018,273.62863,274.98276
2012-01-12 12:00:00,-0.67337227,-1.5892068,-0.8128905,-0.091317035,-0.054675546,-0.86261153,-2.0350218,-1.0404973,-0.117376946,-0.064204626,-0.8480004,-1.7877806,-0.8491986,-0.10231794,-0.054812044,1.0088508,1.3069425,1.0463103,0.63924414,0.7871402,1.7520963,2.1199348,1.996372,1.4580417,2.2885184,2.0458472,1.9885653,2.2179742,1.3302308,3.105653,274.51834,275.53372,274.67154,273.33167,275.15173,274.51834,275.53372,274.67154,273.33167,275.15173,274.51834,275.53372,274.67154,273.33167,275.15173
2012-01-12 13:00:00,-0.73640275,-1.8952547,-0.58779776,-0.52881813,-0.08029465,-0.95208925,-2.4509997,-0.76011354,-0.68691534,-0.098757364,-0.919401,-2.11074,-0.60730904,-0.58620965,-0.081433475,1.046196,1.4341904,0.99050146,0.744502,0.9043225,1.7895768,2.2444477,1.9159312,1.7396002,2.730064,2.1279902,2.2057157,2.1401944,1.6507194,3.5137274,274.75082,276.24283,274.31757,274.3087,276.33954,274.75082,276.24283,274.31757,274.3087,276.33954,274.75082,276.24283,274.31757,274.3087,276.33954
2012-01-12 14:00:00,-1.1728317,-0.9959789,-0.73128307,-0.3622812,-0.027971068,-1.5580593,-1.3192089,-0.9694648,-0.4828753,-0.033685844,-1.4350932,-1.0829868,-0.7362507,-0.39155328,-0.027264232,1.2948116,1.2164079,1.0865827,0.7233025,0.71483815,2.0390942,2.031346,2.0544195,1.6828928,2.0160832,2.6748397,1.8340665,2.2741013,1.5861712,2.8538694,276.29852,275.0292,274.92697,274.1119,274.41885,276.29852,275.0292,274.92697,274.1119,274.41885,276.29852,275.0292,274.92697,274.1119,274.41885
2012-01-12 15:00:00,-0.19533536,0.0,-0.32610762,0.0,-0.023099149,-0.27273583,0.0,-0.45796892,0.0,-0.02900546,-0.22818618,0.0,-0.31066737,0.0,-0.02159792,0.92454255,0.79485154,1.0332999,0.46760938,0.7701869,1.6674823,1.6188505,1.9776194,0.9989296,2.2246382,1.8604047,1.1146744,2.199842,0.8076388,3.0466151,273.9935,272.68002,274.58902,271.73853,274.9799,273.9935,272.68002,274.58902,271.73853,274.9799,273.9935,272.68002,274.58902,271.73853,274.9799
2012-01-12 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24988517,0.44041303,0.7260648,0.5311521,0.5493852,0.9903785,1.2720301,1.5347828,1.1689024,1.3926532,0.37644467,0.50981957,1.7716541,1.0011132,2.2776978,269.79358,270.70486,272.64035,272.32834,272.74176,269.79358,270.70486,272.64035,272.32834,272.74176,269.79358,270.70486,272.64035,272.32834,272.74176
2012-01-12 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22458974,0.93841887,0.6815727,0.31038165,0.92660177,0.9649913,1.7593321,1.4706533,0.5783552,2.814012,0.3208055,1.3596741,1.7096462,0.32891306,3.5913122,269.6361,273.48007,272.35815,270.2791,276.56537,269.6361,273.48007,272.35815,270.2791,276.56537,269.6361,273.48007,272.35815,270.2791,276.56537
2012-01-12 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7779222,0.698764,0.2698794,0.6592074,0.5539705,1.5203303,1.524828,0.8772543,1.5114424,1.409931,1.5379022,0.9506995,1.1358768,1.391015,2.2936654,273.08075,272.14456,269.74695,273.51697,272.78824,273.08075,272.14456,269.74695,273.51697,272.78824,273.08075,272.14456,269.74695,273.51697,272.78824
