,name,dist,hgt_wrf,lat_wrf,lon_wrf,pft,veg_frac_idx
0,CH-Dav_ALPS,19.529397230576144,1697.1921,46.748276,10.09297,1,0.94336575
1,IT-Lav_ALPS,22.19636273573608,1349.8491,45.814438,11.4831915,1,1.0
2,IT-Ren_ALPS,13.114360627847446,1730.7949,46.6324,11.275308,1,0.9482592
3,AT-Neu_ALPS,29.494012761762118,993.9684,46.872757,11.470199,7,0.82636935
4,IT-MBo_ALPS,0.37080796326867455,1639.3721,46.013306,11.041438,7,0.90899163
