datetime,dT_calc_mean_9km,dT_model_mean_9km,dGPP_calc_mean_9km,dGPP_model_mean_9km,dGPP_real_mean_9km,dRECO_calc_mean_9km,dRECO_model_mean_9km,dRECO_real_mean_9km,dT_calc_mean_54km,dT_model_mean_54km,dGPP_calc_mean_54km,dGPP_model_mean_54km,dGPP_real_mean_54km,dRECO_calc_mean_54km,dRECO_model_mean_54km,dRECO_real_mean_54km
2012-01-12 00:00:00,-0.9815776392263409,-6.083204154889282,0.0,0.0,0.0,-0.1485500516486383,-0.9211181238581632,-0.9742543709906103,-1.4583733367881586,-5.420113844368326,0.0,0.0,0.0,-0.22004049848776489,-0.8432938456662669,-0.9116179080390184
2012-01-12 01:00:00,-0.8957069539007197,-6.409922023715102,0.0,0.0,0.0,-0.14266261718856052,-0.9923800448306902,-1.024127600730407,-1.5824297264983826,-6.074486787182434,0.0,0.0,0.0,-0.2504687584407997,-0.9593849994290741,-0.9626637004539225
2012-01-12 02:00:00,-0.6863933232954745,-6.60142662035163,0.0,0.0,0.0,-0.10980661604577471,-0.9930933590459691,-1.0166894780585234,-1.2616182218113459,-5.920168490023227,0.0,0.0,0.0,-0.20141860184660576,-0.9204858154173413,-0.919896840984757
2012-01-12 03:00:00,-0.6314551740813992,-6.711628965980367,0.0,0.0,0.0,-0.10491097952348927,-0.9999033454543598,-1.0312799082994148,-0.9738908320503055,-6.3527424413833256,0.0,0.0,0.0,-0.16099126911961506,-0.9744817385588251,-0.9726814218561166
2012-01-12 04:00:00,-0.06871642128408771,-6.505748905547677,0.0,0.0,0.0,-0.022525420790515734,-0.9435428316491282,-0.9869276761908873,-0.7835904844362442,-6.335052908283391,0.0,0.0,0.0,-0.1394219812148417,-0.9775546154537786,-0.9320151403115401
2012-01-12 05:00:00,-0.5300991784244603,-6.801058554235911,0.0,0.0,0.0,-0.0813738142775203,-0.9536398395443734,-0.9473768977102134,-0.9205761317763218,-7.931226331134175,0.0,0.0,0.0,-0.1622485054770643,-1.227643879841487,-0.949697125555625
2012-01-12 06:00:00,-0.39546436795321377,-6.688652838860358,0.0,0.0,0.0,-0.06598836899650319,-0.9523626343656189,-0.9744271860367213,-1.2513666224857032,-8.002956253161534,0.0,0.0,0.0,-0.19976297044758973,-1.1853553838125956,-1.057796987995541
2012-01-12 07:00:00,-0.6142596086163387,-6.055593044958382,-0.000659063916373705,-0.00851740357556845,-0.009237112765309719,-0.07236344594519738,-0.8246189579652732,-0.8549860540221165,-0.9082911534485993,-7.048345777723524,-0.0032706115305717854,-0.011234460078954863,-0.007693678336869542,-0.11126895748803689,-0.9811002512416125,-1.0208615561277288
2012-01-12 08:00:00,-0.44736264984203417,-2.7089344635251584,-0.04483504910436903,-0.27222067246187137,-0.27504973078528683,-0.05590363583148388,-0.3829519416091714,-0.49135411569782067,-1.1877733749548594,-4.815202713012695,-0.13026666312893814,-0.5024002124240322,-0.4115242646809169,-0.1645504969495504,-0.6905681157576175,-0.8578953315742166
2012-01-12 09:00:00,-0.5944533648336321,-0.9621099153361713,-0.0935255596661033,-0.153218733648447,-0.1414563519182348,-0.07534502599158083,-0.13480406248982402,-0.18667169753304144,-1.67128501625457,-3.2588389888354237,-0.2819519832513878,-0.5417453997782979,-0.3496368604689731,-0.22785751152899328,-0.4627625521966132,-0.538039069717089
2012-01-12 10:00:00,-0.6361609776842938,-0.9092521166864029,-0.11715678407782762,-0.17479306509426154,-0.16038081214622116,-0.08184741157296836,-0.12837989826486473,-0.1390025131786234,-1.835553758418642,-2.0350313804889546,-0.33485931761865456,-0.38179910894061975,-0.22923402160021442,-0.24379486175499857,-0.2838957214805038,-0.2894783064819233
2012-01-12 11:00:00,-0.7364140243126279,-1.1117612370619043,-0.13463157886259264,-0.22343637991338125,-0.21698617214555332,-0.0971216438648784,-0.1565381227301507,-0.1565096474424137,-1.7420113490688915,-1.913733522832329,-0.3171230096525648,-0.37174316450363676,-0.27627530249947757,-0.23009779454050733,-0.2650005454956742,-0.28697318411328765
2012-01-12 12:00:00,-0.7696672482953235,-1.3757567562949473,-0.13593329182676978,-0.27287738661139804,-0.2781780956127121,-0.10261894538234768,-0.19358946770772056,-0.20245891804560592,-1.701029067901855,-2.3072434504673143,-0.29377335610866057,-0.4383499488920077,-0.36981482191145704,-0.22632094089091284,-0.3208049597476486,-0.3613041523637776
2012-01-12 13:00:00,-0.8211837068277328,-1.551613672100069,-0.13745788259923775,-0.2933644276290049,-0.3147045654230996,-0.10962718420338724,-0.21757375240952892,-0.22560263088684313,-1.7842573546289924,-2.693410037523247,-0.28787338416307945,-0.49457980268578466,-0.42481434535219087,-0.23721700652234706,-0.3730151244218683,-0.4010168589445887
2012-01-12 14:00:00,-0.7182480142698023,-1.6901933378916858,-0.10246328845300408,-0.26739257292236995,-0.27865210978170957,-0.09424164284258163,-0.23526547801734934,-0.23629523671814318,-1.7669763789530455,-2.892586181847875,-0.23711341404815875,-0.4459820407721981,-0.3419836931875758,-0.23029828965682841,-0.3985573738373459,-0.3911800180253508
2012-01-12 15:00:00,-0.5117589849191433,-2.399019624429471,-0.043482995455634416,-0.2157091976197613,-0.20781113084217506,-0.06675104899375875,-0.3399780543818989,-0.3403833848467893,-1.7414555541693664,-3.5743482423476673,-0.11844945178473945,-0.3086879074511059,-0.18339039209791158,-0.22083824786558734,-0.49887340521231993,-0.4313987465335727
2012-01-12 16:00:00,-0.560613294273869,-5.664722177781954,0.0,0.0,0.0,-0.09667535489904137,-0.8364309644242953,-0.8736703128975836,-0.9947471895371715,-6.9097900390625,0.0,0.0,0.012698824885859777,-0.14183678184558757,-1.0358256924720568,-0.9718699293275755
2012-01-12 17:00:00,-0.7148915857647382,-6.86212587147122,0.0,0.0,0.0,-0.13179976850776434,-1.0375716196606812,-1.12240457460883,-0.738539652047385,-7.748651396865955,0.0,0.0,0.0,-0.14235435250159909,-1.1853016002262047,-1.2231571911899084
2012-01-12 18:00:00,-1.0233984990563836,-7.269412570529514,0.0,0.0,0.0,-0.1732268320831414,-1.0909797651852355,-1.1426143588135154,-0.9312695754947946,-8.205463329713735,0.0,0.0,0.0,-0.16149781217300047,-1.2529273432728376,-1.2834953483950045
2012-01-12 19:00:00,-0.8062986634600355,-7.2750192605801445,0.0,0.0,0.0,-0.14156518802447357,-1.0990535094736942,-1.153266991758292,-0.6529918652028283,-7.628637229941807,0.0,0.0,0.0,-0.12271749796112796,-1.1666958343202192,-1.2349462429045388
2012-01-12 20:00:00,-0.7059797542978083,-7.08255055211652,0.0,0.0,0.0,-0.13531817372845795,-1.0626316074633806,-1.103500968970876,-0.47965381211676866,-7.29804294935052,0.0,0.0,0.0,-0.09803240396956352,-1.1084163483727962,-1.189934683017645
2012-01-12 21:00:00,-0.49089064091044565,-6.869928227147668,0.0,0.0,0.0,-0.09094351742396038,-1.0622605841389527,-1.1218815719251094,-0.10626160205630794,-6.718249503708887,0.0,0.0,0.0,-0.03071965862879154,-1.046155679956495,-1.1715859891499887
2012-01-12 22:00:00,-0.3636020123605771,-6.889752717296104,0.0,0.0,0.0,-0.07681460032471457,-1.0692340282407649,-1.1169302531398226,-0.07602407835211064,-6.827659368515015,0.0,0.0,0.0,-0.03029934323530637,-1.0679774206573238,-1.1685981838346
